2000 Census Block,2000 Census Tract,Civil Court District,Congressional District,Fire Battalion,Fire Company Number,Fire Division,Health Area,Health Center District,Instructional Region,Sanitation Collection Scheduling Section and Subsection,State Senatorial District,Vacant Lot Flag,Assembly District,Election District,X Coordinate,Y Coordinate,Pseudo Address Flag,BBL,City Council District,School District (Confirmed),Building Classification Code,Complaint Type,Descriptor 1,Incident Address,Incident City,Borough,Incident Zip Code,Created Date,Police Precinct,Borough Command
1000,1110,7,10,39,225,15,6420,33,,4E,19,N,40,77,1017029,179843,N,3043550001,42,BROOKLYN District 19,D3,Noise - Residential,Loud Television,725 STANLEY AVENUE,BROOKLYN,BROOKLYN,11207,10/1/10 0:00,Precinct 75,Brooklyn North
1000,115,3,8,7,21,1,4500,15,,2A,29,N,75,79,986312,215276,N,1010320101,3,MANHATTAN District 2,C7,Noise - Commercial,Loud Music/Party,355 WEST 41 STREET,NEW YORK,MANHATTAN,10036,10/1/10 0:00,Precinct 14,Manhattan South
1000,1210,7,10,39,107,15,6410,33,,3D,19,N,40,33,1019066,184100,N,3042920061,42,BROOKLYN District 19,D3,Noise - Residential,Loud Music/Party,315 FOUNTAIN AVENUE,BROOKLYN,BROOKLYN,11208,10/1/10 0:00,Precinct 75,Brooklyn North
1000,1210,7,10,39,107,15,6410,33,,3D,19,N,40,34,1019647,182488,N,3042920061,42,BROOKLYN District 19,D3,Noise - Residential,Banging/Pounding,515 FOUNTAIN AVENUE,BROOKLYN,BROOKLYN,11208,10/1/10 0:00,Precinct 75,Brooklyn North
1000,122,4,6,51,294,13,2600,45,,4D,10,N,25,65,1031204,194175,N,4093280028,29,QUEENS District 27,K9,Noise - Commercial,Loud Music/Party,87-50 LEFFERTS BOULEVARD,RICHMOND HILL,QUEENS,11418,10/1/10 0:00,Precinct 102,Queens South
1000,127,1,11,31,226,11,2600,38,,2K,18,N,52,63,989569,188095,N,3003890023,33,BROOKLYN District 15,C1,Noise - Street/Sidewalk,Loud Talking,334 BERGEN STREET,BROOKLYN,BROOKLYN,11217,10/1/10 0:00,Precinct 84,Brooklyn North
1000,145,3,8,9,40,3,4600,15,,,29,,75,112,989197,220017,,,6,MANHATTAN District 3,Un,Noise - Vehicle,Car/Truck Horn,,NEW YORK,MANHATTAN,10023,10/1/10 0:00,Precinct 20,Manhattan North
1000,1483,6,5,53,313,14,2150,43,,4C,11,N,26,68,1055660,221427,N,4081490009,19,QUEENS District 26,P5,Noise - Commercial,Loud Music/Party,39-03 LITTLE NECK PARKWAY,LITTLE NECK,QUEENS,11363,10/1/10 0:00,Precinct 111,Queens North
1000,159,6,11,57,105,11,4500,36,,,20,,52,27,992364,184338,,,33,BROOKLYN District 13,Un,Noise - Vehicle,Car/Truck Horn,,BROOKLYN,BROOKLYN,11217,10/1/10 0:00,Precinct 78,Brooklyn South
1000,16,1,7,3,47,6,3030,26,,4D,32,N,76,71,1023858,238861,N,2036720001,18,BRONX District 8,D3,Noise - Residential,Loud Music/Party,1965 LAFAYETTE AVENUE,BRONX,BRONX,10473,10/1/10 0:00,Precinct 43,Bronx
1000,164,6,15,10,43,3,2600,12,,1B,28,N,68,22,1000219,226684,N,1016750033,8,MANHATTAN District 4,M1,Noise - House of Worship,Loud Music/Party,342 EAST 104 STREET,NEW YORK,MANHATTAN,10029,10/1/10 0:00,Precinct 23,Manhattan North
1000,179,5,15,11,22,3,3120,16,,4B,30,N,69,17,992013,227905,N,1012410025,6,MANHATTAN District 3,D6,Noise - Residential,Loud Music/Party,201 WEST 93 STREET,NEW YORK,MANHATTAN,10025,10/1/10 0:00,Precinct 24,Manhattan North
