iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"They got me in here reading out loud and shit.."	"Tue, 05 Apr 2011 14:27:42 +0000"	"http://a1.twimg.com/profile_images/1287398089/Photo_on_2011-03-22_at_07.27_normal.jpg"	"55275424644730880"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55275424644730880"	"van_go1"	"209896831"	"{u'result_type': u'recent'}"	"None"	"209896831"	"BROOKLYN N.Y"		
"en"	"None"	"None"	"RT @nearls79: "The wise are quiet because they're convinced. The fools are loud because they're trying to convince themselves""	"Tue, 05 Apr 2011 14:27:33 +0000"	"http://a1.twimg.com/profile_images/1244314730/image_normal.jpg"	"55275387286061056"	"<a href="http://twitter.com/">web</a>"	"55275387286061056"	"Mverburgg"	"177120289"	"{u'result_type': u'recent'}"	"None"	"177120289"	"New York City, New York"		
"en"	"None"	"None"	"I dk why #thisidiotrob feels it is extremely necessary to be this loud wen it's this quiet in here...smh where are my headphones?"	"Tue, 05 Apr 2011 14:27:20 +0000"	"http://a0.twimg.com/profile_images/1217467295/IMG00028-20110115-2142_normal.jpg"	"55275329094287361"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55275329094287361"	"Charlezton_Chew"	"131469143"	"{u'result_type': u'recent'}"	"None"	"131469143"	"ÜT: 40.740881,-73.99211"		
"en"	"None"	"None"	""The wise are quiet because they're convinced. The fools are loud because they're trying to convince themselves""	"Tue, 05 Apr 2011 14:26:31 +0000"	"http://a1.twimg.com/profile_images/1240065785/gifninja_2__normal.gif"	"55275127046287360"	"<a href="http://twitter.com/">web</a>"	"55275127046287360"	"nearls79"	"228526758"	"{u'result_type': u'recent'}"	"None"	"228526758"	"New York City, New York"		
"en"	"None"	"None"	"#awkwardmoment When I'm at the mechanic shop waiting room and pull out a loud health bar wrapper... And it's so quite everyone looks at you."	"Tue, 05 Apr 2011 14:25:09 +0000"	"http://a2.twimg.com/profile_images/1192640795/yt_pic_normal.jpg"	"55274781553065984"	"<a href="http://itunes.apple.com/app/twitter/id333903271?mt=8" rel="nofollow">Twitter for iPad</a>"	"55274781553065984"	"MedMissions"	"198449611"	"{u'result_type': u'recent'}"	"None"	"198449611"	"#New York #New Jersey #iPad"		
"nl"	"None"	"None"	"YOOO @djnorie reggae ol skool mix tun up LOUD inna d big truck!!!   #MAAADDDDDDDDDD"	"Tue, 05 Apr 2011 14:18:10 +0000"	"http://a2.twimg.com/profile_images/1231053460/vibezcamp-promo_normal.jpg"	"55273022822694912"	"<a href="http://twitter.com/">web</a>"	"55273022822694912"	"VIBEZCAMP"	"6997329"	"{u'result_type': u'recent'}"	"None"	"6997329"	"Brooklyn"		
"en"	"None"	"None"	"RT @DamnItsTrue: I never really laugh out loud when I write LOL. #DamnItsTrue"	"Tue, 05 Apr 2011 14:17:32 +0000"	"http://a3.twimg.com/profile_images/1278632879/Katy-Perry-Firework-FanMade2-400x400_normal.jpg"	"55272865515311104"	"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"55272865515311104"	"carolinescratch"	"105462952"	"{u'result_type': u'recent'}"	"None"	"105462952"	"New York City"		
"en"	"None"	"None"	"Loud music and Fast Carsssss"	"Tue, 05 Apr 2011 14:14:07 +0000"	"http://a0.twimg.com/profile_images/1298991760/image_normal.jpg"	"55272006823841792"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55272006823841792"	"Xcuse_MyHyper"	"140337545"	"{u'result_type': u'recent'}"	"None"	"140337545"	"nyc"		
"en"	"104549329"	"104549329"	"@nicolelala18 he is so shy gosh ugh. He needs to learn to embrace your loud bitchiness."	"Tue, 05 Apr 2011 14:10:00 +0000"	"http://a3.twimg.com/profile_images/1123848754/61748_1411413250888_1399202208_30966392_5672539_n_normal.jpg"	"55270967546617856"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"55270967546617856"	"stfusarahh"	"53188767"	"{u'result_type': u'recent'}"	"None"	"53188767"	"New York"	"nicolelala18"	
"en"	"None"	"None"	"Shout out to pandora app for just opening up mad loud when I was on the bus and I didnt notice cuz was listening to my ipod -_-"	"Tue, 05 Apr 2011 14:09:58 +0000"	"http://a1.twimg.com/profile_images/1251695419/265888700_normal.jpg"	"55270959422242816"	"<a href="http://levelupstudio.com" rel="nofollow">Plume  </a>"	"55270959422242816"	"BeautifulAK"	"78917645"	"{u'result_type': u'recent'}"	"None"	"78917645"	"NY (wish to be home in ANU)"		
