iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"Its sooo quiet in Pastorini because almost everyone in here is a Nursing major and we r all studying... lol"	"Tue, 05 Apr 2011 14:30:55 +0000"	"http://a0.twimg.com/profile_images/1240699533/devoniegail.aspx_normal.jpeg"	"55276233675653120"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55276233675653120"	"devz09x"	"25072276"	"{u'result_type': u'recent'}"	"None"	"25072276"	"New York"		
"en"	"43960760"	"43960760"	"@muziqmann2020 @NayBabez. ......just be quiet Josh! Don't make it worse *smiles @ Nay...backs away*"	"Tue, 05 Apr 2011 14:30:17 +0000"	"http://a3.twimg.com/profile_images/1253823597/266722227_normal.jpg"	"55276073256099841"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55276073256099841"	"MzKelsRocsBells"	"140333502"	"{u'result_type': u'recent'}"	"None"	"140333502"	"New York"	"muziqmann2020"	
"en"	"None"	"None"	"AT1200 Silhouette / Series E with Quiet Motor Acoustically Transparent Screen - 84" x 84" AV Format Size: 84" x... http://amzn.to/i7Wf9a"	"Tue, 05 Apr 2011 14:29:34 +0000"	"http://a2.twimg.com/profile_images/909402668/stock_investments_normal.jpg"	"55275891642732544"	"<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>"	"55275891642732544"	"highyieldreview"	"118133161"	"{u'result_type': u'recent'}"	"None"	"118133161"	"New York, USA"		
"en"	"None"	"None"	"Its Been Kinda Quiet This Am...."	"Tue, 05 Apr 2011 14:29:16 +0000"	"http://a0.twimg.com/profile_images/1268009206/everygirl_normal.jpg"	"55275817906880512"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55275817906880512"	"Yungmarvingaye"	"8850049"	"{u'result_type': u'recent'}"	"None"	"8850049"	"Harlem Usa Sugar Hill"		
"en"	"None"	"None"	"RT @nearls79: "The wise are quiet because they're convinced. The fools are loud because they're trying to convince themselves""	"Tue, 05 Apr 2011 14:27:33 +0000"	"http://a1.twimg.com/profile_images/1244314730/image_normal.jpg"	"55275387286061056"	"<a href="http://twitter.com/">web</a>"	"55275387286061056"	"Mverburgg"	"177120289"	"{u'result_type': u'recent'}"	"None"	"177120289"	"New York City, New York"		
"en"	"None"	"None"	"I dk why #thisidiotrob feels it is extremely necessary to be this loud wen it's this quiet in here...smh where are my headphones?"	"Tue, 05 Apr 2011 14:27:20 +0000"	"http://a0.twimg.com/profile_images/1217467295/IMG00028-20110115-2142_normal.jpg"	"55275329094287361"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55275329094287361"	"Charlezton_Chew"	"131469143"	"{u'result_type': u'recent'}"	"None"	"131469143"	"ÜT: 40.740881,-73.99211"		
"en"	"None"	"None"	"Yoo @bigassbutts been kinda quiet lately! What's goin on!!"	"Tue, 05 Apr 2011 14:27:05 +0000"	"http://a2.twimg.com/profile_images/1289737497/279052266_normal.jpg"	"55275268096524289"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55275268096524289"	"TimeIsMoney_945"	"147265075"	"{u'result_type': u'recent'}"	"None"	"147265075"	"ÜT: 40.808908,-73.927636"		
"en"	"None"	"None"	""The wise are quiet because they're convinced. The fools are loud because they're trying to convince themselves""	"Tue, 05 Apr 2011 14:26:31 +0000"	"http://a1.twimg.com/profile_images/1240065785/gifninja_2__normal.gif"	"55275127046287360"	"<a href="http://twitter.com/">web</a>"	"55275127046287360"	"nearls79"	"228526758"	"{u'result_type': u'recent'}"	"None"	"228526758"	"New York City, New York"		
"eo"	"None"	"None"	"meloony-gordon asked: http://meloony-gordon.tumblr.com/post/4339529627/sometimes-its-so-quiet-in-here Ok,... http://tumblr.com/xqn2077pr6"	"Tue, 05 Apr 2011 14:25:40 +0000"	"http://a0.twimg.com/profile_images/1102842962/jacsta_normal.jpg"	"55274909580009472"	"<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>"	"55274909580009472"	"xsoulxonfirex"	"95148200"	"{u'result_type': u'recent'}"	"None"	"95148200"	"New York"		
"it"	"226772876"	"226772876"	"@personifiedAura lol be quiet"	"Tue, 05 Apr 2011 14:24:33 +0000"	"http://a3.twimg.com/profile_images/1296228747/Photo_on_2011-04-01_at_12.58__2_normal.jpg"	"55274632420392961"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55274632420392961"	"FRESHMONEYO"	"12675661"	"{u'result_type': u'recent'}"	"None"	"12675661"	"ÜT: 40.667608,-73.962784"	"personifiedAura"	
"en"	"None"	"None"	"I hate when my son is sick but he was so quiet&still yesterday now he's back to playin the drums everywhere!!! :-/"	"Tue, 05 Apr 2011 14:23:39 +0000"	"http://a3.twimg.com/profile_images/1277992017/99jlJ89Y_normal"	"55274401909850112"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"55274401909850112"	"Ms_Delvalle"	"186506193"	"{u'result_type': u'recent'}"	"None"	"186506193"	"New York"		
"en"	"None"	"None"	"RT @m_delamerced: At bankruptcy court for the #blockbuster auction, the reporters' room is quiet. Auction starts in >30 mins. Not super packed."	"Tue, 05 Apr 2011 14:21:12 +0000"	"http://a2.twimg.com/profile_images/1258246639/image_normal.jpg"	"55273786928414720"	"<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>"	"55273786928414720"	"lucbrahan"	"41382493"	"{u'result_type': u'recent'}"	"None"	"41382493"	"New York, NY"		
"en"	"None"	"None"	"Pharrell's bday today? let me be quiet. lol"	"Tue, 05 Apr 2011 14:16:35 +0000"	"http://a1.twimg.com/profile_images/1270432763/cab_3_normal.jpg"	"55272624057618432"	"<a href="http://twitter.com/">web</a>"	"55272624057618432"	"fcummings"	"8409785"	"{u'result_type': u'recent'}"	"None"	"8409785"	"nyc"		
"en"	"None"	"None"	"RT @psychtoday: CEOs rank creativity as the most important leadership skill for organizations of the future. http://ow.ly/1c2duV"	"Tue, 05 Apr 2011 14:09:56 +0000"	"http://a1.twimg.com/profile_images/1174003551/Bandera_Mexico_normal.jpg"	"55270951297880064"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55270951297880064"	"ftorres1970"	"188552218"	"{u'result_type': u'recent'}"	"None"	"188552218"	"New York"		
"en"	"None"	"None"	"Cheese futures trading activity has been quiet lately. http://bit.ly/worldfoodblog #dairy"	"Tue, 05 Apr 2011 14:09:24 +0000"	"http://a0.twimg.com/profile_images/509423688/intlfcstone_normal.gif"	"55270817629614080"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"55270817629614080"	"INTLFCStone"	"185166949"	"{u'result_type': u'recent'}"	"None"	"185166949"	"New York, NY Headquarters"		
"en"	"None"	"None"	"Hamptons New York LIFE IS GOOD In Sag Harbor Close to Town on Quiet Cul-De-Sac Have it ALL!: WebI... http://bit.ly/eUgM1X Houses & Homes"	"Tue, 05 Apr 2011 14:08:26 +0000"	"http://a0.twimg.com/profile_images/507460548/Twitter_Profile_Pic_II_normal.png"	"55270572971671552"	"<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>"	"55270572971671552"	"Nest_Seekers"	"18749279"	"{u'result_type': u'recent'}"	"None"	"18749279"	"New York, NY"		
"en"	"None"	"None"	"whenever I'm watching a movie with someone and its really quiet, it feels awkward so then I start cracking up for no reason. #dontjudgeme"	"Tue, 05 Apr 2011 14:07:41 +0000"	"http://a0.twimg.com/profile_images/1271359579/1541543622fin406_122_369lo_normal.jpg"	"55270384458670080"	"<a href="http://twitter.com/">web</a>"	"55270384458670080"	"GeriGeorgevic65"	"249504687"	"{u'result_type': u'recent'}"	"None"	"249504687"	"nyc"		
"en"	"5215044"	"5215044"	"@mrgnocchi Yes, we've sold many. Belt drive is slick; quiet, low maintenance. People who buy it love it. I rec a test ride to help choose."	"Tue, 05 Apr 2011 14:06:24 +0000"	"http://a0.twimg.com/profile_images/1255209025/bh_twitter_04_normal.jpg"	"55270063216918528"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55270063216918528"	"BicycleHabitat"	"15029512"	"{u'result_type': u'recent'}"	"None"	"15029512"	"New York City"	"MrGnocchi"	
"en"	"27214364"	"27214364"	"@MadiPWNS There are kids here & they won't be quiet D:"	"Tue, 05 Apr 2011 14:05:56 +0000"	"http://a0.twimg.com/profile_images/1256424314/cheese_normal.png"	"55269944119656449"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"55269944119656449"	"MarciFTW"	"19745131"	"{u'result_type': u'recent'}"	"None"	"19745131"	"New York City"	"MadiPWNS"	
"en"	"None"	"None"	"RT @psychtoday: CEOs rank creativity as the most important leadership skill for organizations of the future. http://ow.ly/1c2duV"	"Tue, 05 Apr 2011 14:05:29 +0000"	"http://a0.twimg.com/profile_images/1262853257/never_doubt_MM_normal.jpg"	"55269830466613249"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55269830466613249"	"YCattweets"	"243270502"	"{u'result_type': u'recent'}"	"None"	"243270502"	"New York"		
"en"	"24698907"	"24698907"	"@iwasneverhere I wish! Announcements say "Be courteous to your neighbor while on the phone." I'm gonna start lobbying for these quiet cars!"	"Tue, 05 Apr 2011 14:04:10 +0000"	"http://a3.twimg.com/profile_images/1289672520/me_normal.jpg"	"55269502472032256"	"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"55269502472032256"	"ohnoashleycat"	"1394923"	"{u'result_type': u'recent'}"	"None"	"1394923"	"New York"	"iwasneverhere"	
"en"	"256374104"	"256374104"	"@Guy_Dee_ chill slime its od quiet for that"	"Tue, 05 Apr 2011 13:55:26 +0000"	"http://a2.twimg.com/profile_images/1286507892/278006350_normal.jpg"	"55267302123376641"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55267302123376641"	"Truthbetold_319"	"258194477"	"{u'result_type': u'recent'}"	"None"	"258194477"	"ÜT: 40.817333,-73.906295"	"Guy_Dee_"	
"en"	"None"	"None"	"#Power1051 Why was @angelayee so quiet during Donkey of the Day?"	"Tue, 05 Apr 2011 13:53:19 +0000"	"http://a2.twimg.com/profile_images/1295017926/tumblr_lipdow8yBH1qb9zxko1_1280_normal.jpg"	"55266771183222784"	"<a href="http://www.power1051fm.com" rel="nofollow">Power 105.1 FM</a>"	"55266771183222784"	"lionofbedstuy"	"86150998"	"{u'result_type': u'recent'}"	"None"	"86150998"	"Bed-Stuy, BK, NY, USA"		
"en"	"None"	"None"	"Good morning, today is a rather quiet day in the city...something must be up!"	"Tue, 05 Apr 2011 13:52:02 +0000"	"http://a1.twimg.com/profile_images/1233807057/84_Carat_Diamond_normal.jpg"	"55266446284042240"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55266446284042240"	"sweetsuitechic"	"224789781"	"{u'result_type': u'recent'}"	"None"	"224789781"	"New York, NY"		
"en"	"None"	"None"	"Good morning, today is a rather quiet day in the city...something must be up!"	"Tue, 05 Apr 2011 13:52:01 +0000"	"http://a3.twimg.com/profile_images/1240335078/FITbutton_blksml_normal.gif"	"55266443494821889"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55266443494821889"	"FITFashionD"	"225884534"	"{u'result_type': u'recent'}"	"None"	"225884534"	"New York, NY"		
"en"	"None"	"None"	"Lmaoooooooo RT @SliMTiNGz: Yo yall remember quiet w/ the tongue ring n blue contacts @SammyJoi @Qutie314 @JayDenise85 lmaoo"	"Tue, 05 Apr 2011 13:51:54 +0000"	"http://a0.twimg.com/profile_images/1297856920/281388834_normal.jpg"	"55266414411513856"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"55266414411513856"	"SammyJoi"	"10042269"	"{u'result_type': u'recent'}"	"None"	"10042269"	"ÜT: 40.664147,-73.952061"		
