iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"79298753"	"79298753"	"@daSoXXKinG ...is it still a waiting game?!?!"	"Tue, 05 Apr 2011 14:32:58 +0000"	"http://a3.twimg.com/profile_images/1275116664/kisses_normal.jpg"	"55276746957795328"	"daSoXXKinG"	"<a href="http://twitter.com/">web</a>"	"55276746957795328"	"FollowTheLita"	"10417510"	"{u'result_type': u'recent'}"	"None"	"10417510"	"New York | Sydney | Samoa"	
"en"	"31772291"	"31772291"	"@yesjayme There is usually more than just sushi at a Japanese restaurant...and he did bring shoes..hes still an idiot.."	"Tue, 05 Apr 2011 14:32:49 +0000"	"http://a1.twimg.com/profile_images/1229117210/tattoo_normal.png"	"55276710098243585"	"yesjayme"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"55276710098243585"	"led1121"	"5212491"	"{u'result_type': u'recent'}"	"None"	"5212491"	"new yawk"	
"nl"	"None"	"None"	"RT @DamnItsTrue: No matter how much I sleep, I still feel sleepy at school. #DamnItsTrue"	"Tue, 05 Apr 2011 14:32:39 +0000"	"http://a0.twimg.com/profile_images/1296804214/snapshot_9__normal.jpg"	"55276667605753857"		"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"55276667605753857"	"ThadithaJR"	"263840335"	"{u'result_type': u'recent'}"	"None"	"263840335"	"New York City"	
"en"	"99229102"	"99229102"	"@amyriri haah i didnt thought he would be this mad though, it was 2 fucking weeks ago lol & hes still looking for me....SO SENSITIVE"	"Tue, 05 Apr 2011 14:32:37 +0000"	"http://a0.twimg.com/profile_images/1296742715/images_normal.jpg"	"55276658848055296"	"amyriri"	"<a href="http://twitter.com/">web</a>"	"55276658848055296"	"RihannaG4L"	"90847757"	"{u'result_type': u'recent'}"	"None"	"90847757"	"nyc"	
"en"	"None"	"None"	"#whycantyoujust realize & get it through your head that you still don't know what you want! .....smh!!"	"Tue, 05 Apr 2011 14:32:33 +0000"	"http://a3.twimg.com/profile_images/1290574676/image_normal.jpg"	"55276645518544896"		"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"55276645518544896"	"srimtz"	"164100353"	"{u'result_type': u'recent'}"	"None"	"164100353"	"New York"	
"en"	"None"	"None"	"I'm still flying over the #NYR win last night...#rangers Man what a great game!"	"Tue, 05 Apr 2011 14:32:30 +0000"	"http://a1.twimg.com/profile_images/230538574/n528583279_898907_6224_normal.jpg"	"55276629399830528"		"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"55276629399830528"	"Coopz22"	"11085954"	"{u'result_type': u'recent'}"	"None"	"11085954"	"nyc"	
"en"	"None"	"None"	"There's still time! You too can take the Video Doorman TRIVIA QUIZ! Show off your skills here! http://bit.ly/gfa7rR"	"Tue, 05 Apr 2011 14:32:28 +0000"	"http://a2.twimg.com/profile_images/1099295572/logo_normal.gif"	"55276623913697280"		"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"55276623913697280"	"AmericaSecure"	"150100348"	"{u'result_type': u'recent'}"	"None"	"150100348"	"New York"	
"en"	"51531027"	"51531027"	"@baymenxpac I still flash on the immortal Doug Flynn"	"Tue, 05 Apr 2011 14:32:26 +0000"	"http://a3.twimg.com/profile_images/1223647454/karl_normal.jpg"	"55276612677156865"	"baymenxpac"	"<a href="http://twitter.com/">web</a>"	"55276612677156865"	"springer66"	"2506180"	"{u'result_type': u'recent'}"	"None"	"2506180"	"Brooklyn"	
"en"	"139553996"	"139553996"	"@paragurl_wwe Still burning a bit but I am doing what my tattoo artist is telling me to do."	"Tue, 05 Apr 2011 14:32:22 +0000"	"http://a2.twimg.com/profile_images/1212426093/EvilDivaHeart_normal.jpg"	"55276599033085953"	"paragurl_wwe"	"<a href="http://twitter.com/">web</a>"	"55276599033085953"	"EvilDiva81"	"211489074"	"{u'result_type': u'recent'}"	"None"	"211489074"	"New Jersey, aka HELL"	
"en"	"None"	"None"	"I just took "You: "Bullying, Bullying, Bullying... That's..." and got: About You {read the whole thing please}! Try it: http://bit.ly/eYhCVn"	"Tue, 05 Apr 2011 14:32:19 +0000"	"http://a1.twimg.com/profile_images/1300039638/197424_190739420961167_100000753322514_402205_2215148_n_normal.jpg"	"55276586102046720"		"<a href="http://fun140.com/" rel="nofollow">Fun140</a>"	"55276586102046720"	"QueenBreezyBaby"	"148183020"	"{u'result_type': u'recent'}"	"None"	"148183020"	"New York!!!!!!!!!!! :D"	
