iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"RT @vmagazine: Happy 25th birthday @LadyGaga! V love u! http://twitpic.com/4eb1om"	"Wed, 30 Mar 2011 15:20:29 +0000"	"http://a2.twimg.com/profile_images/1269712842/837e907a-99da-49f6-888f-aa40e60fcaba_normal.png"	"53114379587170304"	"<a href="http://twitpic.com" rel="nofollow">Twitpic</a>"	"53114379587170304"	"AlfredFJonesUSA"	"184311930"	"{u'result_type': u'recent'}"	"None"	"184311930"	"New York, NY"		
"en"	"5957701"	"5957701"	"@DopeGirlFRESZH happy birthday"	"Wed, 30 Mar 2011 15:20:18 +0000"	"http://a1.twimg.com/profile_images/1262262124/wd_normal.jpeg"	"53114333135249408"	"<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster</a>"	"53114333135249408"	"WillyDope"	"1473440"	"{u'result_type': u'recent'}"	"None"	"1473440"	"Bronx, NY"	"DopeGirlFRESZH"	
"en"	"None"	"None"	"RT @itsbizkit: RT @akonswils: RT @MookNFair: Just happy to be here!!!"	"Wed, 30 Mar 2011 15:20:09 +0000"	"http://a1.twimg.com/profile_images/1292723630/l_c2f912c15f09c7facd56f6fd8783c5eb_normal.jpg"	"53114294681878528"	"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"53114294681878528"	"akonswils"	"51824493"	"{u'result_type': u'recent'}"	"None"	"51824493"	"Long island NY"		
"en"	"50961"	"50961"	"@Bethenny Congrats on the renewal for the 3rd season!! So excited and happy for you!  
What is your best Guac recipe?"	"Wed, 30 Mar 2011 15:20:05 +0000"	"http://a0.twimg.com/profile_images/1173525396/XS_normal.jpg"	"53114276759609346"	"<a href="http://twitter.com/">web</a>"	"53114276759609346"	"Billy323"	"3826386"	"{u'result_type': u'recent'}"	"None"	"3826386"	"ÜT: 40.744945,-74.039877"	"Bethenny"	
"eo"	"None"	"None"	"Photo: solomotion: http://tumblr.com/xid1xmb8xg"	"Wed, 30 Mar 2011 15:20:01 +0000"	"http://a3.twimg.com/profile_images/1275778724/ContactSheet-001_normal.jpg"	"53114263925030912"	"<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>"	"53114263925030912"	"lfresh"	"1707822"	"{u'result_type': u'recent'}"	"None"	"1707822"	"ÜT: 40.687236,-73.944235"		
"en"	"None"	"None"	"Damn... everytime I think abt my new money that's coming I GET SUPER EXCITED!!  And very happy to be here :-)"	"Wed, 30 Mar 2011 15:19:59 +0000"	"http://a3.twimg.com/profile_images/1283562181/profile_normal.jpg"	"53114251925127168"	"<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster</a>"	"53114251925127168"	"_shamissmoney"	"100459808"	"{u'result_type': u'recent'}"	"None"	"100459808"	"lil harlem"		
"en"	"None"	"None"	"Happy Hump Day!"	"Wed, 30 Mar 2011 15:19:54 +0000"	"http://a2.twimg.com/profile_images/1214403171/IMAG0021-2_normal.jpg"	"53114233356947456"	"<a href="http://twitter.com/">web</a>"	"53114233356947456"	"iprincefly3"	"29230963"	"{u'result_type': u'recent'}"	"None"	"29230963"	"Brooklyn, New York"		
"en"	"None"	"None"	"RT @CBCBook: Happy Birthday Vincent van Gogh! Picture book inspired by letters that Vincent wrote to his brother Theo http://bit.ly/etotmm"	"Wed, 30 Mar 2011 15:19:46 +0000"	"http://a1.twimg.com/profile_images/1277379292/3DBB35CC__1__normal.jpg"	"53114197889916928"	"<a href="http://twitter.com/">web</a>"	"53114197889916928"	"booksofwonder"	"135683144"	"{u'result_type': u'recent'}"	"None"	"135683144"	"New York, NY"		
"en"	"2760968"	"2760968"	"@StevieNYC Happy Birthday to you! Hope the party last night was fun!"	"Wed, 30 Mar 2011 15:19:40 +0000"	"http://a1.twimg.com/profile_images/1240885581/Tommytwitter_normal.jpg"	"53114172715712513"	"<a href="http://twitter.com/">web</a>"	"53114172715712513"	"Pardee"	"1959696"	"{u'result_type': u'recent'}"	"None"	"1959696"	"New York, NY"	"StevieNYC"	
"en"	"160216714"	"160216714"	"@ImJustZee happy belated birthday lol"	"Wed, 30 Mar 2011 15:19:39 +0000"	"http://a0.twimg.com/profile_images/1283689307/mirb_normal.jpg"	"53114169549012992"	"<a href="http://twitter.com/">web</a>"	"53114169549012992"	"MrTeabagNhoeZ"	"97484964"	"{u'result_type': u'recent'}"	"None"	"97484964"	"SoFLA to Brooklyn, N.Y."	"ImJustZee"	
"en"	"None"	"None"	"RT @AnforaNYC: Thx! RT @wineLIFECEO: Happy #ww @42below @alex_thegrape @AmericanHomesSI @AcapulcoGold @aliasnosobriety @718ViCCi @6thAveWine @3rdDigala"	"Wed, 30 Mar 2011 15:19:34 +0000"	"http://a3.twimg.com/profile_images/1284455085/262953025_normal.jpg"	"53114150410399744"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53114150410399744"	"wineLIFECEO"	"158087333"	"{u'result_type': u'recent'}"	"None"	"158087333"	"West Village, NYC"		
"en"	"7879055"	"7879055"	"@produceramadeus happy birthday to your son! Hope u & him have a great day celebrating! :)"	"Wed, 30 Mar 2011 15:19:34 +0000"	"http://a0.twimg.com/profile_images/1280707491/7415960ab885a0f40b7700f8addd5d8a39171232_wmeg_normal.jpg"	"53114147952525312"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53114147952525312"	"fabgyrl25"	"21936205"	"{u'result_type': u'recent'}"	"None"	"21936205"	"Brooklyn, NY"	"produceramadeus"	
"en"	"None"	"None"	""A person needs 3 things to be truly happy in this world: someone to love, something to do, and something to hope for.""	"Wed, 30 Mar 2011 15:19:33 +0000"	"http://a0.twimg.com/profile_images/1008288824/FERME_-_IMG_0490_normal.jpg"	"53114145150746625"	"<a href="http://twitter.com/">web</a>"	"53114145150746625"	"trapezegirlnyc"	"41390989"	"{u'result_type': u'recent'}"	"None"	"41390989"	"nyc"		
"en"	"None"	"None"	"Good morning tweeps! How's everyone doing today? Happy #SVU Day!"	"Wed, 30 Mar 2011 15:19:00 +0000"	"http://a1.twimg.com/profile_images/1246832315/eohugsvusmall_normal.gif"	"53114007644672000"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53114007644672000"	"LilEmmie"	"17974319"	"{u'result_type': u'recent'}"	"None"	"17974319"	"South Jersey"		
