iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"I think she jus hate the Black Athletes"	"Wed, 30 Mar 2011 15:24:14 +0000"	"http://a3.twimg.com/profile_images/1254178227/1297495355288-1_normal.jpg"	"53115323905351680"	"<a href="http://twidroyd.com" rel="nofollow">twidroyd</a>"	"53115323905351680"	"iAm_DaChosen1"	"205971886"	"{u'result_type': u'recent'}"	"None"	"205971886"	"NY Born, Livin A Southern Life"		
"en"	"None"	"None"	"I'm having one of those moments when you look at your closet and hate everything you have. #ineedtogoshopping"	"Wed, 30 Mar 2011 15:24:01 +0000"	"http://a3.twimg.com/profile_images/1189349332/60040_650359442787_48609665_35943467_5283706_n_normal.jpg"	"53115266724409345"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53115266724409345"	"DaveyHeld"	"9196685"	"{u'result_type': u'recent'}"	"None"	"9196685"	"ÜT: 40.816669,-73.992473"		
"en"	"None"	"None"	"RT @Sn00ki: Hate mornings !"	"Wed, 30 Mar 2011 15:23:58 +0000"	"http://a0.twimg.com/profile_images/1289952292/DSCN5278_normal.JPG"	"53115256624513025"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53115256624513025"	"juliebear_"	"185663583"	"{u'result_type': u'recent'}"	"None"	"185663583"	"New Yawkkk"		
"en"	"None"	"None"	"RT @Sn00ki: Hate mornings !"	"Wed, 30 Mar 2011 15:23:50 +0000"	"http://a0.twimg.com/profile_images/1287384827/jnkl_normal.jpg"	"53115222394798080"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53115222394798080"	"Macaveli_"	"237176129"	"{u'result_type': u'recent'}"	"None"	"237176129"	"New Yawkkk"		
"en"	"None"	"None"	"RT @ItsThingsInLife: When people who don't even know you hate you, thats when you know you're doing something right. #ItsThingsInLife"	"Wed, 30 Mar 2011 15:23:15 +0000"	"http://a0.twimg.com/profile_images/1280457439/gg_normal.jpg"	"53115077590646784"	"<a href="http://twitter.com/">web</a>"	"53115077590646784"	"mkaalkhalifa"	"217889194"	"{u'result_type': u'recent'}"	"None"	"217889194"	"New York City"		
"en"	"None"	"None"	"Take me too seriously you'll hate me."	"Wed, 30 Mar 2011 15:23:04 +0000"	"http://a0.twimg.com/profile_images/1174989076/215357506_normal.jpg"	"53115030538952704"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53115030538952704"	"RealRalphyG"	"8736685"	"{u'result_type': u'recent'}"	"None"	"8736685"	"ÜT: 40.691533,-73.988379"		
"en"	"None"	"None"	"Aaaaaaaaand I hate loud breathers.....that ish aggravates me"	"Wed, 30 Mar 2011 15:23:00 +0000"	"http://a3.twimg.com/profile_images/1253823597/266722227_normal.jpg"	"53115012633473024"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53115012633473024"	"MzKelsRocsBells"	"140333502"	"{u'result_type': u'recent'}"	"None"	"140333502"	"New York"		
"en"	"None"	"None"	"I hate it here. And i hate everything"	"Wed, 30 Mar 2011 15:22:56 +0000"	"http://a3.twimg.com/profile_images/844383812/26513_384280093877_751288877_3955157_3006326_n_normal.jpg"	"53114996124684288"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"53114996124684288"	"BonnieGills"	"23395317"	"{u'result_type': u'recent'}"	"None"	"23395317"	"New Yawkkk"		
"en"	"None"	"None"	"NYPD investigates Village beating as hate crime: Police are investigating the beating of a 26-year-old man in Lo... http://bit.ly/dTUQam"	"Wed, 30 Mar 2011 15:22:55 +0000"	"http://a1.twimg.com/profile_images/61834493/EWN_73x73_normal.jpg"	"53114993461309440"	"<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>"	"53114993461309440"	"eyewitnessabc7"	"1963640"	"{u'result_type': u'recent'}"	"None"	"1963640"	"New York City"		
"en"	"None"	"None"	"Why do people hate the music department? Like seriously?"	"Wed, 30 Mar 2011 15:22:53 +0000"	"http://a3.twimg.com/profile_images/1272972682/vbjh_normal.PNG"	"53114984305131520"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"53114984305131520"	"BigTimeFan29"	"167206119"	"{u'result_type': u'recent'}"	"None"	"167206119"	"NY :D"		
"en"	"None"	"None"	"I hate getting my car services,why do I have to stay at the dealership and wait for 1 hr,just for a oil change....smfh"	"Wed, 30 Mar 2011 15:22:45 +0000"	"http://a1.twimg.com/profile_images/1291601172/3GV5lSG0_normal"	"53114949823762432"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53114949823762432"	"Shantoya721"	"261494997"	"{u'result_type': u'recent'}"	"None"	"261494997"	"Long island NY"		
"en"	"None"	"None"	"RT @Kjack92: I hate when someone is having a bad day and they decide to make your day go bad. Smh #NotHappening"	"Wed, 30 Mar 2011 15:22:42 +0000"	"http://a2.twimg.com/profile_images/1290317106/279295389_normal.jpg"	"53114935546359808"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53114935546359808"	"HIGH_lifex3"	"262242057"	"{u'result_type': u'recent'}"	"None"	"262242057"	"ÜT: 40.734516,-73.990019"		
"en"	"None"	"None"	"RT @peterkirn: Hate to be a jerk about it, but technically there's no such thing as an "open source iOS app." Part of the ongoing importance of Android."	"Wed, 30 Mar 2011 15:22:36 +0000"	"http://a0.twimg.com/profile_images/1164368388/c_g_logo_normal.jpg"	"53114911928233984"	"<a href="http://seesmic.com/app" rel="nofollow">Seesmic Web</a>"	"53114911928233984"	"benguerrette"	"180613147"	"{u'result_type': u'recent'}"	"None"	"180613147"	"New York, NY"		
"en"	"None"	"None"	"Via @MMFA: Fox  & Friends Hosts Hate Group  Head To Push "Anchor Baby" Myth http://bit.ly/eaSS3T #p2 #p2b #media"	"Wed, 30 Mar 2011 15:22:32 +0000"	"http://a0.twimg.com/profile_images/1160666054/Avatar-5-400x400-Letters-Clear_normal.PNG"	"53114894970662912"	"<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>"	"53114894970662912"	"thejoshuablog"	"739640"	"{u'result_type': u'recent'}"	"None"	"739640"	"New York City"		
