iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"21386562"	"21386562"	"@IrishRedSox77 Yeah, but then I wouldn't be bothered by troublesome hope. #cubs"	"Wed, 30 Mar 2011 15:27:55 +0000"	"http://a2.twimg.com/profile_images/1109166828/Finland_Pics_July_5th_005_reduced_normal.jpg"	"53116249596641280"	"IrishRedSox77"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53116249596641280"	"PRINCE_OF_NY"	"31130356"	"{u'result_type': u'recent'}"	"None"	"31130356"	"New York"	
"en"	"None"	"None"	"Not looking good for pakistan right now, hope their secret weapon has something under the sleeve...wait they dont even have sleeves!"	"Wed, 30 Mar 2011 15:27:38 +0000"	"http://a3.twimg.com/profile_images/1227355461/DSC06583__800x600__normal.jpg"	"53116176850628608"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53116176850628608"	"ibnwali"	"109676750"	"{u'result_type': u'recent'}"	"None"	"109676750"	"New York"	
"en"	"None"	"None"	"This nigga I work wit said he was ganna bring me some GOOD weed and I think he Jamaican 2! Hope he don't bluff"	"Wed, 30 Mar 2011 15:27:31 +0000"	"http://a2.twimg.com/profile_images/1282976964/image_normal.jpg"	"53116150229381120"		"<a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>"	"53116150229381120"	"EyesLoww"	"114473516"	"{u'result_type': u'recent'}"	"None"	"114473516"	"FORT GREENE BROOKLYN!!!"	
"en"	"None"	"None"	"Aye i need @Paris2Tokyo more than ever tonight... I hope she say yea shes down ;)"	"Wed, 30 Mar 2011 15:27:30 +0000"	"http://a3.twimg.com/profile_images/1283270551/IMAG0353-1_normal.jpg"	"53116146982993921"		"<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster</a>"	"53116146982993921"	"BabyDollsWorld"	"63548761"	"{u'result_type': u'recent'}"	"None"	"63548761"	"Uptown DC"	
"en"	"None"	"None"	"Hope you see my face and be reminded that for me this isn't over .."	"Wed, 30 Mar 2011 15:27:10 +0000"	"http://a0.twimg.com/profile_images/1256190415/hunnydipington__normal.jpg"	"53116061385637888"		"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"53116061385637888"	"hunnydipington_"	"125965075"	"{u'result_type': u'recent'}"	"None"	"125965075"	"nyc."	
"en"	"None"	"None"	"RT @DebonaiRHeff: Hope my tweeps having a good day.... Fuck the tweeps"	"Wed, 30 Mar 2011 15:26:56 +0000"	"http://a3.twimg.com/profile_images/1219199369/247001553_normal.jpg"	"53116004087246848"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53116004087246848"	"HULKSMASHlilppl"	"215832441"	"{u'result_type': u'recent'}"	"None"	"215832441"	"ÜT: 40.828939,-73.879458"	
"en"	"18844236"	"18844236"	"@Xiaxue I'm amazed you still HAD hope in humanity."	"Wed, 30 Mar 2011 15:26:54 +0000"	"http://a1.twimg.com/profile_images/583291698/twitterProfilePhoto_normal.jpg"	"53115995384070145"	"Xiaxue"	"<a href="http://twitter.com/">web</a>"	"53115995384070145"	"volatile_tifa"	"21698545"	"{u'result_type': u'recent'}"	"None"	"21698545"	"New York"	
"en"	"None"	"None"	"RT @katiecouric: I hope you'll tune in 4 my @CBSSunday intvw this wknd w/@Starbucks CEO Howard Schultz. Thx for letting us crash ... http://say.ly/Jvbd4c"	"Wed, 30 Mar 2011 15:26:43 +0000"	"http://a0.twimg.com/profile_images/1069910802/HI3G00370001_normal.jpg"	"53115947376066560"		"<a href="http://www.whosay.com" rel="nofollow">Who Say</a>"	"53115947376066560"	"gba451"	"132654161"	"{u'result_type': u'recent'}"	"None"	"132654161"	"New York, NY"	
"en"	"None"	"None"	"I hope I got a 100 on that history exam!!!"	"Wed, 30 Mar 2011 15:26:38 +0000"	"http://a3.twimg.com/profile_images/1286930167/image_normal.jpg"	"53115927914491904"		"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"53115927914491904"	"CrownMe_Geneva"	"103382350"	"{u'result_type': u'recent'}"	"None"	"103382350"	"nyc"	
"en"	"None"	"None"	"RT @miilkkk: I hope you choke on the lies you tell; but then again.. Its kind of hard to swallow that much bullshit"	"Wed, 30 Mar 2011 15:26:33 +0000"	"http://a1.twimg.com/profile_images/1278076279/Al_Qibla-20110317-00222_1_normal.jpg"	"53115905990868993"		"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53115905990868993"	"lulualhussaini"	"228587769"	"{u'result_type': u'recent'}"	"None"	"228587769"	"Brooklyn ,NY"	
