iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"104804289"	"104804289"	"@MartinaCashmere if they are it's very very very sad"	"Wed, 30 Mar 2011 15:21:30 +0000"	"http://a2.twimg.com/profile_images/1291746159/ProfilePhoto_normal.png"	"53114636358266880"	"martinacashmere"	"<a href="http://www.osfoora.com" rel="nofollow">Osfoora for iPhone</a>"	"53114636358266880"	"YanniqueYannick"	"217637493"	"{u'result_type': u'recent'}"	"None"	"217637493"	"ÜT: 40.820544,-73.890799"	
"en"	"None"	"None"	"It's sad that I'm looking forward to taking a long nap on Saturday.  #rocknrolllifestyle"	"Wed, 30 Mar 2011 15:20:13 +0000"	"http://a0.twimg.com/profile_images/1183558013/lolinternet_ponyboy__normal.jpg"	"53114311291310080"		"<a href="http://twitter.com/">web</a>"	"53114311291310080"	"porcelain72"	"1070654"	"{u'result_type': u'recent'}"	"None"	"1070654"	"Brooklyn, NY"	
"en"	"None"	"None"	"So sad @IAmTravisPorter gonna be in my hometown and Im in WV at school !!"	"Wed, 30 Mar 2011 15:20:12 +0000"	"http://a2.twimg.com/profile_images/1291009508/110320-235519_normal.jpg"	"53114306925043712"		"<a href="http://twitter.com/">web</a>"	"53114306925043712"	"ENVYME_PLEASE"	"242938778"	"{u'result_type': u'recent'}"	"None"	"242938778"	"Brooklyn, New York"	
"en"	"91644956"	"91644956"	"@communiqueprnyc I did. So SAD. I get more of a workout walking across town for a pedi than she gets "dancing." I'm disappointed!"	"Wed, 30 Mar 2011 15:19:32 +0000"	"http://a1.twimg.com/profile_images/421355646/Amber_normal.jpg"	"53114140620881920"	"CommuniquePRNYC"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"53114140620881920"	"Glambr"	"21232761"	"{u'result_type': u'recent'}"	"None"	"21232761"	"New York, NY"	
"en"	"None"	"None"	"Ma fone jumps out ma hands far too much and one of these days its gony die and I will be sad!"	"Wed, 30 Mar 2011 15:17:30 +0000"	"http://a3.twimg.com/profile_images/1247599721/munch_2011_02_09_220217_normal.jpg"	"53113627405852673"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53113627405852673"	"lorigilmourrr"	"221030342"	"{u'result_type': u'recent'}"	"None"	"221030342"	"Jamaica maaaan "	
"en"	"None"	"None"	"This is a really interesting / sad issue - Debate Over Fabienne Cherisma Photos Rekindled After Award Given http://t.co/EAYqBAH"	"Wed, 30 Mar 2011 15:17:01 +0000"	"http://a1.twimg.com/profile_images/1185346696/20101109__EMT_145948_3_normal.JPG"	"53113508438605824"		"<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>"	"53113508438605824"	"ericmtownsend"	"4623129"	"{u'result_type': u'recent'}"	"None"	"4623129"	"New York"	
"en"	"13759924"	"13759924"	"@missemilyskye Glad to hear it. It's sad because all you Aussie girls are extremely beautiful, sweet and personable. Dog eat dog industry"	"Wed, 30 Mar 2011 15:16:16 +0000"	"http://a0.twimg.com/profile_images/1290024276/183270_1686879936751_1380240220_31806313_1610031_n_normal.jpg"	"53113318818316288"	"missemilyskye"	"<a href="http://twitter.com/">web</a>"	"53113318818316288"	"ManhattaKnight"	"224008687"	"{u'result_type': u'recent'}"	"None"	"224008687"	"Manhattan (New York City)"	
"en"	"None"	"None"	"he accidentally washed my tshirt and now he's all sad that it doesn't smell like me anymore."	"Wed, 30 Mar 2011 15:16:01 +0000"	"http://a3.twimg.com/profile_images/1276400625/IMG_1908_200x200_normal.jpg"	"53113256092512256"		"<a href="http://twitter.com/">web</a>"	"53113256092512256"	"DanielLiamHo"	"6119195"	"{u'result_type': u'recent'}"	"None"	"6119195"	"New York, NY"	
"en"	"None"	"None"	"Yo girl get a note pad cause u aint got no swagg and u so fine its so sad"	"Wed, 30 Mar 2011 15:15:24 +0000"	"http://a0.twimg.com/profile_images/1276639107/274758029_normal.jpg"	"53113100446072832"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53113100446072832"	"bills718"	"32390156"	"{u'result_type': u'recent'}"	"None"	"32390156"	"BROOKLYN E.N.Y"	
"en"	"None"	"None"	"Google before you tweet is the new think before you speak. #sad"	"Wed, 30 Mar 2011 15:15:10 +0000"	"http://a0.twimg.com/profile_images/1267321305/Photo_on_2011-01-16_at_12.14__3_normal.jpg"	"53113042841505792"		"<a href="http://twitter.com/">web</a>"	"53113042841505792"	"Fullywasted"	"189179881"	"{u'result_type': u'recent'}"	"None"	"189179881"	"New York , New York"	
"en"	"None"	"None"	"Just saw a bird with a broken wing flopping around. #sad #whatdoyoudo"	"Wed, 30 Mar 2011 15:14:40 +0000"	"http://a1.twimg.com/profile_images/1290375002/2242_normal.JPG"	"53112916462940160"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53112916462940160"	"EllenKnacken"	"261070929"	"{u'result_type': u'recent'}"	"None"	"261070929"	"Manhattan"	
"en"	"None"	"None"	"Now it's just sad: Quark keeps sending me their online newsletter. We broke up circa 3.3.2, please move on."	"Wed, 30 Mar 2011 15:14:28 +0000"	"http://a0.twimg.com/profile_images/1135454590/roi_normal.jpg"	"53112866039017472"		"<a href="http://twitter.com/">web</a>"	"53112866039017472"	"DesigningROI"	"92554983"	"{u'result_type': u'recent'}"	"None"	"92554983"	"New York"	
"en"	"None"	"None"	"RT @matthewjxmalady: highest point on staten island + texans killed at the alamo + sad fact about @bronxzooscobra = todt hill/257/running out of funny material"	"Wed, 30 Mar 2011 15:14:25 +0000"	"http://a1.twimg.com/profile_images/1281034288/richpunch_normal.jpg"	"53112853598715904"		"<a href="http://twitter.com/">web</a>"	"53112853598715904"	"kriheli"	"1127372"	"{u'result_type': u'recent'}"	"None"	"1127372"	"nyc"	
"en"	"None"	"None"	"RT @NateXHill: This girl @maryplummer made the least popular but best vid on Death Bear--it got the awkward, sad nature of it all. http://bit.ly/ftfKzl"	"Wed, 30 Mar 2011 15:13:36 +0000"	"http://a2.twimg.com/profile_images/1220024170/giant_book_normal.jpg"	"53112646949548033"		"<a href="http://twitter.com/">web</a>"	"53112646949548033"	"niki_pop"	"16018030"	"{u'result_type': u'recent'}"	"None"	"16018030"	"nyc"	
"en"	"None"	"None"	"RT @JonKnicksFan: Sad but true RT @FisolaNYDN Shelden Williams will start at center tonight. Say what you want, he's the Knicks best option at that position."	"Wed, 30 Mar 2011 15:13:07 +0000"	"http://a2.twimg.com/profile_images/1289527570/image_normal.jpg"	"53112525931294720"		"<a href="http://twitter.com/">web</a>"	"53112525931294720"	"DJMisterDior"	"91620645"	"{u'result_type': u'recent'}"	"None"	"91620645"	"nyc"	
"en"	"None"	"None"	"Really sad about Geraldine Ferraro. :("	"Wed, 30 Mar 2011 15:13:07 +0000"	"http://a3.twimg.com/profile_images/1288471560/278626745_normal.jpg"	"53112525012729856"		"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53112525012729856"	"HarrietTHUGman"	"102475757"	"{u'result_type': u'recent'}"	"None"	"102475757"	"ÜT: 40.82197,-73.946225"	
"en"	"None"	"None"	"Sad isnt it? RT @Realistic_One So SEIZURE SALAD means CAESAR SALAD now?! You gotta be fuckin kidding me."	"Wed, 30 Mar 2011 15:12:54 +0000"	"http://a0.twimg.com/profile_images/1284446472/ji_steppin1_sm_normal.jpg"	"53112469689868289"		"<a href="http://twitter.com/">web</a>"	"53112469689868289"	"jirvin06"	"60049567"	"{u'result_type': u'recent'}"	"None"	"60049567"	"South Jersey"	
"en"	"2390700"	"2390700"	"@aprilismissing I just got very sad: http://www.weather.com/weather/wxdetail/USDC0001?dayNum=1"	"Wed, 30 Mar 2011 15:12:08 +0000"	"http://a0.twimg.com/profile_images/1036432609/bennyyyy_normal.jpg"	"53112278651899904"	"aprilismissing"	"<a href="http://twitter.com/">web</a>"	"53112278651899904"	"Ben_Duronio"	"92678691"	"{u'result_type': u'recent'}"	"None"	"92678691"	"New York"	
"en"	"134268816"	"134268816"	"@motoridersd I'm sad I didn't get a chance to go back and watch TRON 2 in 3D IMAX again."	"Wed, 30 Mar 2011 15:11:57 +0000"	"http://a1.twimg.com/profile_images/954438073/GumshoeAva_normal.jpg"	"53112230522273792"	"motoridersd"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53112230522273792"	"humbearto"	"1587667"	"{u'result_type': u'recent'}"	"None"	"1587667"	"New York, NY"	
"en"	"None"	"None"	"Sad but true RT @FisolaNYDN Shelden Williams will start at center tonight. Say what you want, he's the Knicks best option at that position."	"Wed, 30 Mar 2011 15:11:49 +0000"	"http://a0.twimg.com/profile_images/661737492/8c29_35_normal.JPG"	"53112199874486272"		"<a href="http://twitter.com/">web</a>"	"53112199874486272"	"JonKnicksFan"	"28758218"	"{u'result_type': u'recent'}"	"None"	"28758218"	"nyc"	
"en"	"None"	"None"	"RT @RabbiStrom: Sad to leave New Orleans. My first CCAR was a blast. Thank you, NOLA! Can't wait to come back, & looking forward to Boston! #ccar11"	"Wed, 30 Mar 2011 15:11:38 +0000"	"http://a2.twimg.com/profile_images/1277336322/FB_pic_normal.jpg"	"53112151182807040"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"53112151182807040"	"SheratonNOLA"	"63115993"	"{u'result_type': u'recent'}"	"None"	"63115993"	"New York"	
"en"	"879645"	"879645"	"@lcdsoundsystem so excited for the show but sad to see you go--luckily tonight is not my last!"	"Wed, 30 Mar 2011 15:10:18 +0000"	"http://a3.twimg.com/profile_images/1278242303/greenwich_village_normal.jpg"	"53111815521058817"	"LCDsoundsystem"	"<a href="http://twitter.com/">web</a>"	"53111815521058817"	"flamingolaur"	"253582670"	"{u'result_type': u'recent'}"	"None"	"253582670"	"New York City"	
"en"	"1751295"	"1751295"	"@iamthewitch I'm so sleepy & I can't wait to go to Jamaica in 2 more weeks. I feel like when I came back home I get sad & thinks of Rini"	"Wed, 30 Mar 2011 15:10:14 +0000"	"http://a2.twimg.com/profile_images/1157068063/ae70f156c342202d72de171412e7da89_normal.png"	"53111798710276099"	"iamthewitch"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53111798710276099"	"swgraphic"	"22728754"	"{u'result_type': u'recent'}"	"None"	"22728754"	"New York, NY"	
"en"	"134268816"	"134268816"	"@motoridersd It was very sad. I rewatched TRON before watching the second, both amazing though."	"Wed, 30 Mar 2011 15:10:09 +0000"	"http://a1.twimg.com/profile_images/954438073/GumshoeAva_normal.jpg"	"53111777436762112"	"motoridersd"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53111777436762112"	"humbearto"	"1587667"	"{u'result_type': u'recent'}"	"None"	"1587667"	"New York, NY"	
"en"	"177042281"	"177042281"	"@Remarkable_Ree he really is! soooo sad smh"	"Wed, 30 Mar 2011 15:09:35 +0000"	"http://a1.twimg.com/profile_images/1279429029/Photo_on_2011-03-13_at_03.56_normal.jpg"	"53111635312779264"	"Remarkable_Ree"	"<a href="http://twitter.com/">web</a>"	"53111635312779264"	"WinterSaysChill"	"130467490"	"{u'result_type': u'recent'}"	"None"	"130467490"	"New York City."	
"en"	"4787215"	"4787215"	"@SupportSPN I probably won't win... which is sad for me, but at least I still donated."	"Wed, 30 Mar 2011 15:09:21 +0000"	"http://a0.twimg.com/profile_images/1148774773/dfgh_-_Copy_reasonably_small_normal.jpg"	"53111577272004608"	"SupportSPN"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"53111577272004608"	"KitTurnedMighty"	"20708565"	"{u'result_type': u'recent'}"	"None"	"20708565"	"NY"	
"en"	"1333970"	"1333970"	"@meganphelps its a rather sad story... :) the station banned it. They said that the only way they would let me air it is if I chop it up"	"Wed, 30 Mar 2011 15:09:06 +0000"	"http://a1.twimg.com/profile_images/1200750097/IMG_0203_normal.JPG"	"53111514684600320"	"meganphelps"	"<a href="http://twitter.com" rel="nofollow">Tweetie for Mac</a>"	"53111514684600320"	"Moish"	"14187666"	"{u'result_type': u'recent'}"	"None"	"14187666"	"New York"	
"en"	"132562387"	"132562387"	"@I_lov3_Lucy smh what a shame..I actually feel bad, its sad!"	"Wed, 30 Mar 2011 15:08:57 +0000"	"http://a0.twimg.com/profile_images/461483739/g1_pic_normal.jpg"	"53111476382208000"	"I_lov3_Lucy"	"<a href="http://mobile.twitter.com" rel="nofollow">Twitter for Android</a>"	"53111476382208000"	"TheboyNeLz"	"253712908"	"{u'result_type': u'recent'}"	"{u'type': u'Point', u'coordinates': [40.756700000000002, -73.980099999999993]}"	"253712908"	"40.756700, -73.980100"	"{u'type': u'city', u'id': u'086752cb03de1d5d', u'full_name': u'Manhattan, NY'}"
"en"	"142246459"	"142246459"	"@SWAGG100MANN @kellymcarter lol sad but true.. I'm always there, sittin in the middle or somethin lol"	"Wed, 30 Mar 2011 15:07:47 +0000"	"http://a0.twimg.com/profile_images/1273160344/273914027_normal.jpg"	"53111184756449280"	"SWAGG100MANN"	"<a href="http://ubersocial.com" rel="nofollow">ÜberSocial</a>"	"53111184756449280"	"nadilee"	"9309087"	"{u'result_type': u'recent'}"	"None"	"9309087"	"NY"	
"en"	"105169846"	"105169846"	"@aubreapple I bought it too, IT IS AMAZING, ALL SAD LOVE SONGS THATS MAKES YOU WANT TO SLIT YO WRIST. LOL"	"Wed, 30 Mar 2011 15:07:47 +0000"	"http://a1.twimg.com/profile_images/1235518398/Photo_on_2011-01-31_at_09.25_normal.jpg"	"53111184685146114"	"aubreapple"	"<a href="http://twitter.com/">web</a>"	"53111184685146114"	"Cherrii_Bomb"	"151478568"	"{u'result_type': u'recent'}"	"None"	"151478568"	"nyc"	
