url	abstract	byline	geo_facet	title
"http://www.nytimes.com/2008/05/30/nyregion/30class.html"	"Gym patrons in New York City debate how to approach person who is loud or profane during exercise in light of trial in Manhattan Criminal Court of Christopher Carter on assault charges for allegedly attacking Stuart Sugarman for being too loud during gym workout; photo (M)"	"By JAMES BARRON; Mathew R. Warren and David Giambusso contributed reporting."	"[u'NEW YORK CITY']"	"Inside Voices, Please, When Playing at the Gym"
"http://www.nytimes.com/2008/05/29/nyregion/29spin.html"	"Christopher Carter goes on trial in Manhattan Criminal Court on charges of assaulting Stuart Sugarman at Equinox gym because he allegedly could not take loud noises that Sugarman made during exercise; unidentified gym instructor testifies that he asked Sugarman to quiet down; participant in spin class says that Sugarman told Carter to make him quiet down during argument; photos (M)"	"By JOHN ELIGON"	"[u'NEW YORK CITY']"	"Grunting in East Side Gym Class Leads to Hospital, and to Court"
"http://www.nytimes.com/2008/02/17/magazine/17lives-t.html"	"Staceyann Chin on lies she told growing up in Jamaica because of shame she felt at being poor and abandoned by her mother; says New York, where she moved in 1997, allowed her to put lies aside and be 'out, loud, black-biracial lesbian' (M)"	"By STACEYANN CHIN"	"[u'NEW YORK CITY', u'JAMAICA']"	"LIVES; Paradise of Lies"
"http://www.nytimes.com/2007/11/25/nyregion/thecity/25nois.html"	"Uma Dixit, Indian immigrant who moved to Inwood section of Manhattan two years ago and complained about loud Latin pop music from neighbor's apartment, says she has gotten used to it; drawing (M)"	"By JOHN MacDONALD"	"[u'NEW YORK CITY', u'MANHATTAN (NYC)', u'INWOOD (NYC)']"	"INWOOD; More Than a Little Night Music"
"http://www.nytimes.com/2007/09/30/nyregion/thecity/30park.html"	"Article on opposition of some local residents and office workers to commercial, sometimes loud, events at Bryant Park and other parks in Midtown Manhattan; photo (M)"	"By SAKI KNAFO"	"[u'NEW YORK CITY', u'MANHATTAN (NYC)', u'BRYANT PARK (NYC)']"	"MIDTOWN; Parks Bustle, Neighbors Fume"
"http://www.nytimes.com/2007/09/16/nyregion/16horse.html"	"Street drummer James Williams denies he is reason carriage horse near Central Park in New York City was recently spooked by noise, bolted and died; Horse and Carriage Association of New York wants city to ban street musicians and overly loud music in area around park where horse carriages wait for passengers (M)"	"By ANTHONY RAMIREZ"	"[u'NEW YORK CITY', u'NEW YORK STATE', u'CENTRAL PARK (NYC)']"	"Drummer Denies He Intentionally Spooked Horse That Died"
"http://www.nytimes.com/2007/09/15/nyregion/15horse.html"	"Carriage horse near Central Park in New York City dies after being startled by loud noise and darting onto sidewalk where it became stuck between two poles; another startled horse runs into street and onto hood of passing car; survives and car passengers are unhurt; photo (M)"	"By ANAHAD O'CONNOR and KAI MA"	"[u'NEW YORK CITY', u'CENTRAL PARK (NYC)']"	"A Carriage Horse Dies After Bolting Onto a Sidewalk"
"http://www.nytimes.com/2007/09/02/nyregion/thecity/02fyi.html"	"FYI column answers questions about song September Song, whether New York City has any rules governing loud music in health clubs and catwalks in Grand Central Terminal; drawing (M)"	"By MICHAEL POLLAK"	"[u'NEW YORK CITY']"	"F. Y. I."
"http://www.nytimes.com/2006/11/26/fashion/26boite.html"	"Retox is new club in Chelsea neighborhood of Manhattan where loud music combines with red lighting and leather furniture; photo (M)"	"By LIZA GHORBANI"	"[u'NEW YORK CITY']"	"BOÎTE; Rocking With Lestat"
"http://www.nytimes.com/2006/08/13/nyregion/13detective.html"	"Francisco Espinal stabs and shoots to death wife Griselda Espinal in their New Windsor, NY, home; Francisco Espinal then shoots himself to death; couple were going through contentious divorce and neighbors say they had heard loud arguments coming from home; map (M)"	"By ANAHAD O'CONNOR"	"[u'NEW WINDSOR (NY)', u'NEW YORK CITY']"	"A Family Tragedy Unfolds Before the Neighbors' Eyes"
