url	abstract	byline	geo_facet	title
"http://www.nytimes.com/2010/05/13/opinion/13kristof.html"	"Nicholas D Kristof Op-Ed column is unfazed at news that attempted Times Square car bomber Faisal Shahzad is Pakistani-American; holds that public education system in Pakistan is catastrophe; says in tribal areas students hear faint buzz of American drones is background noise, reminding them of America's focus on military hardware and power; says $1,500-per-year cost of sponsoring Developments in Literacy classroom is truly best long-term counterterrorism investment to be made (M)"	"By NICHOLAS D. KRISTOF"	"[u'TIMES SQUARE AND 42ND STREET (NYC)', u'NEW YORK CITY', u'UNITED STATES', u'PAKISTAN']"	"OP-ED COLUMNIST; Pakistan And Times Sq."
"http://www.nytimes.com/2008/11/08/nyregion/08wburg.html"	"New York City police in riot gear break up raucous celebration in Williamsburg neighborhood of Brooklyn following victory of Sen Barack Obama in 2008 presidential election; longtime Williamsburg residents say area has become focus of crowds and late-night noise; photos (M)"	"By CARA BUCKLEY"	"[u'NEW YORK CITY', u'WILLIAMSBURG (NYC)']"	"So Hip and So Loud, and Stirring Up Williamsburg"
"http://www.nytimes.com/2008/09/21/nyregion/thecity/21powe.html"	"Many local residents say Con Edison's installation of transmission line along Riverdale Avenue in Bronx is causing safety, traffic and noise problems; Con Edison spokesman Joseph Petta says work is ahead of schedule and that contractors respond quickly to complaints; photo (M)"	"By KATHERINE BINDLEY"	"[u'NEW YORK CITY', u'BRONX (NYC)', u'RIVERDALE (NYC)']"	"RIVERDALE; For a Big Dig, a Plea for Speed"
"http://www.nytimes.com/2008/07/27/nyregion/thecity/27blas.html"	"Residents of northwest Bronx express concern over noise that may result when New York City Department of Environmental Protection begins blasting shafts along eastern edge of Jerome Park Reservoir in Bronx; shafts will connect reservoir to Croton Water Filtration Plant tunnels; photo (M)"	"By KATHERINE BINDLEY"	"[u'NEW YORK CITY', u'JEROME PARK RESERVOIR (NYC)', u'BRONX (NYC)']"	"NORTHWEST BRONX; Ears Cocked For the Sound of Blasting"
"http://www.nytimes.com/2008/07/09/nyregion/09concrete.html"	"Brooklyn residents near Quadrozzi Concrete Corporation say they barely notice less noise from factory during strike by members of Teamsters union because there are plenty other sources of noise; photo (M)"	"By SHARON OTTERMAN"	"[u'NEW YORK CITY']"	"With Drivers on Strike, Brooklyn Barely Notices"
"http://www.nytimes.com/2008/07/06/nyregion/thecity/06plan.html"	"Federal Aviation Administration spokeswoman Arlene Salac says noise problem from jets flying low over New York City's Park Slope neighborhood to and from LaGuardia Airport will not be solved by moving guidance beacon from Rikers Island to airport; photo (M)"	"By ALEX MINDLIN"	"[u'NEW YORK CITY', u'PARK SLOPE (NYC)']"	"PARK SLOPE; A Victory in the Skies Vanishes Like Vapor"
"http://www.nytimes.com/2008/07/06/nyregion/06drummers.html"	"Ongoing dispute over noise from West African drums in corner of Harlem known as Mount Morris Park has bubbled over into dispute about class, race and culture and has become flash point in debate over gentrification; drummers are African-American and from Africa and Caribbean and have played in Marcus Garvey Park in one form or other since 1969; supporters say they are part of city's noisy cultural mix; nearby residents, mostly young white professionals, have different perspective; conflict has received media attention and recently taken darker turn with racist email advocating violence against musicians; photos; map (M)"	"By TIMOTHY WILLIAMS"	"[u'NEW YORK CITY', u'HARLEM (NYC)', u'MARCUS GARVEY PARK (NYC)']"	"An Old Sound in Harlem Draws New Neighbors' Ire"
"http://www.nytimes.com/2008/07/06/realestate/06cside.html"	"Advice on finding and modifying apartments for parents interested in minimizing potential conflicts with neighbors over noise from children (M)"	"By TERI KARUSH ROGERS"	"[u'NEW YORK CITY']"	"Getting a Handle on Apartment Noise"
"http://www.nytimes.com/2008/07/06/realestate/06cov.html"	"Changing demographic of New York City may best be demonstrated by growing number of complaints from apartment dwellers about noise made by neighbors' children; those called upon to intervene say vast majority of complaints are lodged by neighbors with no children or grown children, and often when family replaces especially quiet resident; parents are not presented with many good choices in New York unless they can afford house, but acoustical engineers are seeing boom in business from co-op buildings, which are increasingly taking preventive stance on noise control, particularly during renovations; photos (M)"	"By TERI KARUSH ROGERS"	"[u'NEW YORK CITY']"	"The Noise Children Make"
"http://query.nytimes.com/gst/fullpage.html?res=9E01E2D6153BF931A15755C0A96E9C8B63"	"Nearby residents are in uproar over noise from hydraulic hammer that has been pounding away for months at massive rock formation on Overlook Terrace in Washington Heights to make way for 27-story condominium being built on site; photo (M)"	"By SAKI KNAFO"	"[u'NEW YORK CITY', u'WASHINGTON HEIGHTS (NYC)']"	"WASHINGTON HEIGHTS; The Sound And the Furious"
"http://www.nytimes.com/2008/06/20/nyregion/20rent.html"	"Rent Guidelines Board authorizes highest rent increases for stabilized apartments in New York City in years--up to 4.5 percent on one-year leases and 8.5 percent on two-year leases; also takes unusual and controversial step of authorizing supplemental increase that affects only those tenants who have lived in their apartment for six years or more; authorization session is epitome of chaos, with noise from protesting tenants and landlords so disruptive that board calls recess at one point; photo (M)"	"By MANNY FERNANDEZ"	"[u'NEW YORK CITY']"	"Board Backs Rise in Rent Up to 8.5%"
"http://www.nytimes.com/2008/04/13/nyregion/thecity/13cafe.html"	"Some local residents, complaining of noise, oppose plan by Mamajuana, Dominican-Spanish bar and restaurant in Washington Heights, to triple number of outdoor tables to 75; expansion request, approved by Community Board 12, will now go to Department of Consumer Affairs and City Council; photo (M)"	"By ALEX MINDLIN"	"[u'NEW YORK CITY', u'WASHINGTON HEIGHTS (NYC)']"	"WASHINGTON HEIGHTS; As a Restaurant Bids to Grow, Some Hold Their Ears"
"http://www.nytimes.com/2008/02/15/nyregion/15actress.html"	"Diego Pillco pleads guilty to first-degree manslaughter in November 2006 death of filmmaker and actress Adrienne Shelly, telling Judge Carol Berkman that they fought after he slipped into her Greenwich Village apartment and stole money from her purse, not after she confronted him about construction noise, as he said in original confession; Shelly's family and Berkman approve plea bargain stipulating fixed sentence of 25 years; photos (M)"	"By ANEMONA HARTOCOLLIS"	"[u'NEW YORK CITY', u'GREENWICH VILLAGE (NYC)']"	"In Guilty Plea, Actress's Killer Changes Story To Robbery"
"http://www.nytimes.com/2008/01/20/nyregion/thecity/20copt.html"	"Friends of Hudson River Park and other community groups have filed suit against Liberty Helicopter, Hudson River Park Trust and heliport asking that West 30th Street Heliport in Manhattan be closed; cites noise and fumes from helicopter engines and buffeting wind stirred by rotors; photo (M)"	"By ALEX MINDLIN"	"[u'NEW YORK CITY', u'HUDSON RIVER PARK (NYC)', u'MANHATTAN (NYC)', u'CHELSEA (NYC)']"	"CHELSEA; On the Waterfront, Sound, Fury and a Lawsuit"
"http://www.nytimes.com/2008/01/13/nyregion/thecity/13sire.html"	"Article on noise complaints from neighbors of building at 140 Riverside Boulevard on Manhattan's West 66th Street; Extell Development Co, which helps oversee building's fan system, says fans draw diesel fumes out of Amtrak train tunnel and noise will be fixed in a few weeks; drawing (S)"	"By ALEX MINDLIN"	"[u'UPPER WEST SIDE (NYC)', u'NEW YORK CITY']"	"UPPER WEST SIDE; The Howl That Haunts West 66th Street"
"http://www.nytimes.com/2007/12/02/realestate/02post.html"	"Developers are attempting to respond to sharp rise in noise complaints from New York City residents and some buildings are being outfitted with latest in noise-blocking windows; developer David Kramer, who installed multi-layered windows from Mannix Co in units of J Condominium in Dumbo section of Brooklyn, says they clearly contributed to sales success of building; several projects and window vendors discussed; photo (M)"	"By C. J. HUGHES"	"[u'NEW YORK CITY']"	"POSTING; Louder Life, Thicker Windows"
"http://www.nytimes.com/2007/11/29/nyregion/29bikes.html"	"Immigrants from Guyana and Trinidad have brought new concept in outdoor entertainment to Richmond Hill section of Queens--bicycles outfitted with elaborate stereo systems; 18-year-old Nick Ragir shows off system that puts out 5,000 watts of sound, powered by car batteries; bikers say they have yet to receive complaints about noise, mostly because they keep moving; photos (M)"	"By COREY KILGANNON"	"[u'RICHMOND HILL (NYC)', u'NEW YORK CITY', u'TRINIDAD AND TOBAGO', u'GUYANA']"	"Bicycles That Carry Powerful Beats, and Even a Rider or Two"
"http://www.nytimes.com/2007/10/07/nyregion/thecity/07horn.html"	"New York City Transportation Department, responding to noise complaints from residents of Little Neck, Queens, is seeking funds to build new railroad crossing or less costly barrier to qualify for 'quiet zone' and exempt community from blasts from trains along Long Island Rail Road tracks; photo (M)"	"By EMILY BRADY"	"[u'NEW YORK CITY', u'QUEENS (NYC)', u'LITTLE NECK (NYC)']"	"LITTLE NECK; Trying to Shush Thomas the Tank"
"http://www.nytimes.com/2007/09/16/nyregion/16horse.html"	"Street drummer James Williams denies he is reason carriage horse near Central Park in New York City was recently spooked by noise, bolted and died; Horse and Carriage Association of New York wants city to ban street musicians and overly loud music in area around park where horse carriages wait for passengers (M)"	"By ANTHONY RAMIREZ"	"[u'NEW YORK CITY', u'NEW YORK STATE', u'CENTRAL PARK (NYC)']"	"Drummer Denies He Intentionally Spooked Horse That Died"
"http://www.nytimes.com/2007/09/15/nyregion/15horse.html"	"Carriage horse near Central Park in New York City dies after being startled by loud noise and darting onto sidewalk where it became stuck between two poles; another startled horse runs into street and onto hood of passing car; survives and car passengers are unhurt; photo (M)"	"By ANAHAD O'CONNOR and KAI MA"	"[u'NEW YORK CITY', u'CENTRAL PARK (NYC)']"	"A Carriage Horse Dies After Bolting Onto a Sidewalk"
"http://query.nytimes.com/gst/fullpage.html?res=980DE3DF143DF935A1575BC0A9619C8B63"	"Frank Todisco, Robert Leuze and George Jochnowitz letters on August 19 articles on walking in New York City and editorial about Mayor Bloomberg's new noise code"		"[u'NEW YORK CITY']"	"THE CITY"
