url	abstract	byline	geo_facet	title
"http://www.nytimes.com/2010/12/28/nyregion/28snow.html"	"Transportation limps back to life after massive snowstorm that walloped New York area and Northeast, but power is still out for thousands of residents; two-day blizzard that attacked East Coast leaves trail of disruption in dozen states, though New York and Northeast took brunt of storm; knee-to-thigh-high snows were common, and officials say it will likely take days to dig out; given size and strength of storm--New York City's sixth-largest snowfall, accompanied by wind gusts of over 65 miles per hour--there are still scores of streets to be plowed, but Mayor Michael Bloomberg rejects any notion that city was less prepared for this storm than for others past; photos; map; chart (M)"	"By ROBERT D. McFADDEN"	"[u'NEW JERSEY', u'NEW YORK CITY', u'NORTHEASTERN STATES (US)', u'NEW YORK CITY METROPOLITAN AREA']"	"Blizzard Ends, Leaving Trail of Disruption Along Coast"
"http://query.nytimes.com/gst/fullpage.html?res=9B07E6DD1F30F93BA15751C1A9669D8B63"	"Transportation limps back to life after massive snowstorm that walloped New York area and Northeast, but power is still out for thousands of residents; two-day blizzard that attacked East Coast leaves trail of disruption in dozen states, though New York and Northeast took brunt of storm; knee-to-thigh-high snows were common, and officials say it will likely take days to dig out; given size and strength of storm--New York City's sixth-largest snowfall, accompanied by wind gusts of over 65 miles per hour--there are still scores of streets to be plowed, but Mayor Michael Bloomberg rejects any notion that city was less prepared for this storm than for others past; photos; map; chart (M)"	"By ROBERT D. McFADDEN; Reporting for the snowstorm coverage was contributed by Charles V. Bagli, Sam Dolnick, Susan Dominus, Joel Elliot, Kareem Fahim, J. David Goodman, Elissa Gootman, Elizabeth A. Harris, Christine Haughney, Patrick Healy, Winnie Hu, Corey Kilgannon, Colin Moynihan, William Neuman, Andy Newman, Sarah Maslin Nir, Janet Piorko, Liz Robbins, Noah Rosenberg, Emily S. Rueb, Fernanda Santos, Mosi Secret, Tim Stelloh, Matthew L. Wald and Michael Wilson."	"[u'NEW YORK CITY', u'NORTHEASTERN STATES (US)', u'NEW YORK CITY METROPOLITAN AREA']"	"Blizzard Ends, Leaving Trail of Disruption Along Coast"
"http://www.nytimes.com/2010/12/08/nyregion/08schools.html"	"Mayor Michael R Bloomberg's closing of New York City public school teacher reassignment centers, known as 'rubber rooms', earlier in 2010 was hailed by Bloomberg and teachers' union as eliminating one of most obvious sources of waste in school system--$30 million a year in salaries being paid to educators accused of wrongdoing or incompetence who were caught up in glacial legal process required to fire them; yet new system is still wanting, with many teachers in limbo doing basic light tasks or sitting without work in unadorned cubicles or out-of-the-way conference tables; while teachers are supposed to be given actual work, Education Department still considers them unsuitable for classrooms while their cases are pending; photos (M)"	"By SHARON OTTERMAN; Juliet Linderman contributed reporting."	"[u'NEW YORK CITY']"	"Facing Firing, Teachers Still In Idle Limbo"
"http://www.nytimes.com/2010/11/26/nyregion/26dresscode.html"	"New York City Taxi and Limousine Commission is issuing a new dress code with broader language to say that all drivers must 'present a professional appearance'; taking on the issue of cab-driver attire may be an ambitious task for a city agency that still struggles to meaningfully impose basic, arguably more pressing rules of the road, but officials say they are committed to enhanced vigilance; photos (M)"	"By MICHAEL M. GRYNBAUM"	"[u'NEW YORK CITY']"	"That Cabby Dress Code? It's Getting a Makeover"
"http://www.nytimes.com/2010/10/25/nyregion/25repairs.html"	"Public housing across country is crumbling as federal money has been unable to keep up with repairs needed on buildings, which in some cases are more than half century old; Department of Housing and Urban Development estimates that $22 billion to $32 billion is still needed to rehabilitate buildings; has drafted legislation that would allow housing agencies to borrow public and private money, using their land and equity to finance repairs; money received from Congress annually would be used to repay debt over time; tenants of New York City's public housing say repair delays have never been worse; New York City Housing Authority says it already has 106,000 unfulfilled work orders, 9,000 of which are scheduled for 2012 and and additional 300 already for 2013; Michael Kelly, housing authority's general manager, says agency simply could not keep up but is seeking solutions, like diverting $7 million from unspent administration fees to maintenance backlog; photo (M)"	"By CARA BUCKLEY"	"[u'UNITED STATES', u'NEW YORK CITY']"	"Agencies Lack Money to Mend Public Housing"
"http://www.nytimes.com/2010/09/17/nyregion/17storm.html"	"Brief but fierce storm roars through New York City, knocking down trees in Brooklyn, Queens and Staten Island, disrupting commuter rail service and killing at least one person; storm and its aftereffects bear many hallmarks of tornado but National Weather Service officials are still analyzing data to determine whether it should be classified as one; police say Iline Leuakis of Mechanicsburg, Pa, was by tree falling on her car when she had pulled over on Grand Central Parkway in Queens; worst of storm, with 60-80 miles per hour winds, began about 5PM as warm front from south approached city; thunderstorms moved through, causing winds to rotate within small area, characteristic that prompts tornado warning; Consolidated Edison reports more than 25,000 customers lost power in Queens and more 5,000 on Staten Island had power failures; photos (M)"	"By RAY RIVERA and MICHAEL ROSTON; Reporting was contributed by Al Baker, Michael Barbaro, Colin Moynihan, Andy Newman, John Otis, Fernanda Santos, Maureen Seaberg and Rebecca White."	"[u'NEW YORK CITY', u'MECHANICSBURG (PA)']"	"Wide Damage As Storm Races Across the City"
"http://www.nytimes.com/2010/08/31/nyregion/31nyecon.html"	"New York City's recovery from financial crisis and recession is outpacing rest of country; despite recent signals that national economy is losing steam, economists expect New York to remain on rebound; far fewer jobs in New York City were lost than had been predicted and there has been job growth thus far in 2010; still, experts on city's economy say effects of recession were spread unevenly across local landscape, leaving many people in dire financial condition; while economists agree that recession is over in city and that it did not last as long or exact toll as harsh as on rest of country, key determinant of people's current well-being appears to be whether they came out of recession with job; photos (M)"	"By PATRICK McGEEHAN"	"[u'NEW YORK CITY']"	"New York Gains Economic Health Faster Than U.S."
"http://query.nytimes.com/gst/fullpage.html?res=9902EFDD1539F932A2575BC0A9669D8B63"	"Organizers of controversial Muslim community center in Lower Manhattan built support among other religious groups and some families of 9/11 victims but did little to engage with likely opponents; more strikingly, they did not seek advice of established Muslim organizations; organizers Daisy Khan, husband Imam Feisal Abdul Rauf, and real estate developer Sharif El-Gamal did not hire public-relations firm until after hostility exploded in May; they went ahead with first public presentation of project just after American Muslim Faisal Shahzad was arrested for attempted car bombing in Times Square; how Khan's early brainstorming with other religious groups led to today's combustible debate, often characterized by powerful emotions and mistaken information, is combination of naivete, public-relations missteps and political climate in which no preparation could have headed off controversy; as result, supporters of $100 million center named Park51, which has gotten final approval from city, are now beginning their fundraising and detailed planning around broader battle; American Muslims say debate has brought them together but has also shown them how much work they still have to do; photos; map (M)"	"By ANNE BARNARD; Sharaf Mowjood contributed reporting."	"[u'TIMES SQUARE AND 42ND STREET (NYC)', u'NEW YORK CITY']"	"For Muslim Center Sponsors, Early Missteps Fueled a Storm"
"http://query.nytimes.com/gst/fullpage.html?res=9C07EEDF1330F933A2575BC0A9669D8B63"	"Heads of Metropolitan Museum of Art, American Museum of Natural History and Museum of Modern Art get free accommodations and do not have to pay income tax on value of housing, which combined would rent for about $400,000 per year; museums say leaders are entitled to same tax break given to others whose housing is not treated as income because their employers require them to live on business premise; say tax exclusion holds even if housing is off-site because homes are used for business meetings; still, many tax experts regard such exclusions as risky calls, which is why they are seldom taken in corporate world; other cultural institutions treat executive housing as taxable income even though they also say those premises are used for business; each museum that provides tax-free executive housing says arrangement had been approved by its lawyers; photos (M)"	"By KEVIN FLYNN and STEPHANIE STROM"	"[u'NEW YORK CITY']"	"Fine Perk for Museum Chiefs: Luxury Housing (It's Tax-Free)"
"http://www.nytimes.com/2010/07/30/nyregion/30rangel.html"	"House ethics committee lays out 13 charges of ethical violations committed by Rep Charles B Rangel, accusing him of pattern of disregard for law and rules of House; unveiling of charges sets stage for rare public trial by committee, potential embarrassment for Democratic leadership during election season; Rangel's lawyers suggest they are still trying to reach settlement; committee report substantiates major charges that Rangel improperly used his office to solicit donations for school to be named in his honor, failed to pay taxes on and report rental income from his Dominican villa, filed incomplete financial disclosure forms, and improperly accepted from Manhattan developer rent-stabilized apartments; while those alleged infractions had been hanging over Rangel for two years and widely reported, committee unearthed new details about Rangel's conduct; committee says Rangel sought contributions for Charles B Rangel Center for Public Service at City College from corporate executives and from lobbyists whose corporations had business before Congress; in some cases, Rangel asked for contributions of as much as $30 million from businesses with issues before Ways and Means Committee, of which he was chairman; photos (M)"	"By DAVID KOCIENIEWSKI; Carl Hulse contributed reporting."	"[u'UNITED STATES', u'NEW YORK CITY']"	"Trial for Rangel Looms as Panel Details Charges"
"http://www.nytimes.com/2010/07/28/nyregion/28bell.html"	"New York City agrees to pay more than $7 million to settle federal lawsuit filed by family of Sean Bell, black man who was fatally shot by police in 2006 on what would have been his wedding day; decision comes after two days of intense negotiations; children whom Bell had with his fiance Nicole Paultre Bell will receive $3.25 million; two friends of Bell's injured in episode will also receive payments, with Joseph Guzman getting $3 million and Trent Benefield $900,000; case, whose settlement ranks among biggest in recent years involving city's police, set off raw debate over use of deadly force and prompted city to change some of its procedures; Detectives Marc Cooper, Gescard F Isnora and Michael Oliver were acquitted of manslaughter and reckless endangerment charges in 2008; two other officers involved, Paul Headley and Michael Carey, were not charged; all five are still on desk duty; photos (M)"	"By DAVID W. CHEN and AL BAKER; A. G. Sulzberger contributed reporting."	"[u'NEW YORK CITY']"	"Sean Bell Case Settled by City For $7 Million"
