iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"RT @DamnItsTrue: Hardest things in life = Having words in my heart that I can't speak out loud! #DamnItsTrue"	"Thu, 27 Jan 2011 16:26:09 +0000"	"http://a1.twimg.com/profile_images/1226214950/310l_normal.jpg"	"30662855783096320"	"<a href="http://cotweet.com/?utm_source=sp1" rel="nofollow">CoTweet</a>"	"30662855783096320"	"azizanurul"	"127877428"	"{u'result_type': u'recent'}"	"None"	"127877428"	"New York City"		
"en"	"None"	"None"	"so im watchin a movie and my mother decided to come talkin loud Af on da phone shut up dam"	"Thu, 27 Jan 2011 16:25:30 +0000"	"http://a3.twimg.com/profile_images/1225700541/image201101180024_normal.jpg"	"30662694772146177"	"<a href="http://twitter.com/devices" rel="nofollow">txt</a>"	"30662694772146177"	"X_pRiS_ciLlA_X"	"174350909"	"{u'result_type': u'recent'}"	"None"	"174350909"	"New York"		
"en"	"None"	"None"	"RT @joylandfiction Nice writeup on @jimhanas and Why They Cried in the Memphis Flyer http://bit.ly/gQTsG0"	"Thu, 27 Jan 2011 16:25:16 +0000"	"http://a0.twimg.com/profile_images/526934194/emily_twitter_normal.JPG"	"30662634307067904"	"<a href="http://twitter.com/">web</a>"	"30662634307067904"	"manualofstyle"	"75742379"	"{u'result_type': u'recent'}"	"None"	"75742379"	"Brooklyn"		
"en"	"None"	"None"	"..Speakers scream loud like a car full of babies :*"	"Thu, 27 Jan 2011 16:19:47 +0000"	"http://a2.twimg.com/profile_images/1061396120/17_normal.JPG"	"30661255874224129"	"<a href="http://twittercounter.com" rel="nofollow">The Visitor Widget</a>"	"30661255874224129"	"Kelliexjs"	"150157244"	"{u'result_type': u'recent'}"	"None"	"150157244"	"NewYork, USA"		
"en"	"None"	"None"	"I hate people that talk just loud enough for everyone to know your business. The wonder why they get ignored."	"Thu, 27 Jan 2011 16:11:48 +0000"	"http://a1.twimg.com/profile_images/1225223244/whitetee_normal.png"	"30659245221347328"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30659245221347328"	"LurkinAssAlex"	"178943368"	"{u'result_type': u'recent'}"	"None"	"178943368"	"Downtown"		
"en"	"None"	"None"	"RT @LOUDweedRUFFsex: @Lboogie130 @fleeqirlswaqq my nigga what shit i be smokin ? lmao LOUD ! and actually it calms ... http://tmi.me/60CXg"	"Thu, 27 Jan 2011 16:10:23 +0000"	"http://a1.twimg.com/profile_images/1225364400/250979048_normal.jpg"	"30658889351430144"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30658889351430144"	"CASH_PROFIT"	"105800487"	"{u'result_type': u'recent'}"	"None"	"105800487"	"Queens, NY"		
"en"	"None"	"None"	"RT @BIGGERBOOTYJUDY: NYC PEOPLE ARE SO FAKE I SWEAR LOUD PACK ORIGINATED DOWN SOUTH PLEASE LEAVE IT THERE DAMN SMH ... http://tmi.me/60CxA"	"Thu, 27 Jan 2011 16:07:48 +0000"	"http://a1.twimg.com/profile_images/1222449276/IMG00038-20110115-1603_normal.jpg"	"30658237946667008"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30658237946667008"	"ShawnGetsSaucey"	"166064981"	"{u'result_type': u'recent'}"	"None"	"166064981"	"ÜT: 40.811901,-73.933489"		
"en"	"21936205"	"21936205"	"@fabgyrl25 My sister loves Trey & has it on the computer so she listens to it lol. Me and my mom are just alike, she's just LOUD! Lmao."	"Thu, 27 Jan 2011 16:06:00 +0000"	"http://a3.twimg.com/profile_images/1217351641/n195202448_30662450_2363_normal.jpg"	"30657784815030272"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"30657784815030272"	"virgocharms"	"154247622"	"{u'result_type': u'recent'}"	"None"	"154247622"	"Queens, NY"	"fabgyrl25"	
"en"	"None"	"None"	"Funny I haven't seen any of those rice burners w/ the loud mufflers & lowered chassis on the road... @ least snow is good for something. LOL"	"Thu, 27 Jan 2011 16:03:14 +0000"	"http://a2.twimg.com/profile_images/518534527/RCA_0008_normal.JPG"	"30657090242478080"	"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"30657090242478080"	"vickydag"	"725831"	"{u'result_type': u'recent'}"	"None"	"725831"	"New York"		
"en"	"None"	"None"	"I'm that guy on the train with my headphones too loud.  So bona to vada.  Thanks, Moz."	"Thu, 27 Jan 2011 16:02:22 +0000"	"http://a2.twimg.com/profile_images/1180596242/70846_673652609_1995238_q_normal.jpg"	"30656871073325056"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"30656871073325056"	"philipfrawley"	"166763623"	"{u'result_type': u'recent'}"	"None"	"166763623"	"Brooklyn"		
"en"	"2013659"	"2013659"	"@CanarsieBK yeah all the driving interferes with my drinking. errr, did i say that out loud?"	"Thu, 27 Jan 2011 16:00:04 +0000"	"http://a3.twimg.com/profile_images/1113843269/ARS_Mountain_normal.JPG"	"30656293337309184"	"<a href="http://twitter.com/">web</a>"	"30656293337309184"	"Aspield"	"78832180"	"{u'result_type': u'recent'}"	"None"	"78832180"	"nyc"	"CanarsieBK"	
"en"	"None"	"None"	"My Blackberry Is LOUD;"	"Thu, 27 Jan 2011 15:54:24 +0000"	"http://a3.twimg.com/profile_images/1226004645/251294952_normal.jpg"	"30654867802431488"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30654867802431488"	"DreamHusband"	"200574709"	"{u'result_type': u'recent'}"	"None"	"200574709"	"ÜT: 40.690877,-73.987199"		
