iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	to_user	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	place
"en"	"21009385"	"21009385"	"@KOrtizzle @literaticat @planetalvina Def not. If you're concerned abt noise, skip Naples 45. Highly rec Metrazur- I prob go once a wk!"	"Thu, 27 Jan 2011 16:07:23 +0000"	"http://a3.twimg.com/profile_images/952848661/books1_normal.JPG"	"30658134112477185"	"KOrtizzle"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30658134112477185"	"gcpeditor"	"122118368"	"{u'result_type': u'recent'}"	"None"	"122118368"	"New York, NY"	
"en"	"9952623"	"9952623"	"@fansoflilwayne as a fellow fan yall can dig this- 
http://interviewmagazine.com/blogs/music/2011-01-26/madison-the-noise-some-people-make/"	"Thu, 27 Jan 2011 16:06:05 +0000"	"http://a1.twimg.com/profile_images/753276218/Madison_normal.jpg"	"30657807099363330"	"fansoflilwayne"	"<a href="http://twitter.com/">web</a>"	"30657807099363330"	"noiseofmadison"	"106337703"	"{u'result_type': u'recent'}"	"None"	"106337703"	"nyc"	
"en"	"2524106"	"2524106"	"@literaticat surprisingly, imho, it's not. I've been there a few times (LOVE IT) and I don't notice the noise @planetalvina @GCPeditor"	"Thu, 27 Jan 2011 16:04:56 +0000"	"http://a3.twimg.com/profile_images/1190533507/28cw8o5_normal.jpg"	"30657516786421760"	"literaticat"	"<a href="http://twitter.com/">web</a>"	"30657516786421760"	"KOrtizzle"	"21009385"	"{u'result_type': u'recent'}"	"None"	"21009385"	"New York, NY"	
"en"	"950596"	"950596"	"@ladygaga http://interviewmagazine.com/blogs/music/2011-01-26/madison-the-noise-some-people-make/  think you'd appreciate this G! Im a fan !"	"Thu, 27 Jan 2011 15:56:14 +0000"	"http://a1.twimg.com/profile_images/753276218/Madison_normal.jpg"	"30655327632359425"	"ladygaga"	"<a href="http://twitter.com/">web</a>"	"30655327632359425"	"noiseofmadison"	"106337703"	"{u'result_type': u'recent'}"	"None"	"106337703"	"nyc"	
"en"	"167967"	"167967"	"@kanyewest http://interviewmagazine.com/blogs/music/2011-01-26/madison-the-noise-some-people-make/
check my music im droppin!"	"Thu, 27 Jan 2011 15:53:24 +0000"	"http://a1.twimg.com/profile_images/753276218/Madison_normal.jpg"	"30654615682809856"	"kanyewest"	"<a href="http://twitter.com/">web</a>"	"30654615682809856"	"noiseofmadison"	"106337703"	"{u'result_type': u'recent'}"	"None"	"106337703"	"nyc"	
"en"	"None"	"None"	"We love makin noise lolRT @SexyEverAfter If I was there I would be making noise 2 RT @DevSoundLab: I'm trying to take a nap and @king_colin"	"Thu, 27 Jan 2011 15:50:09 +0000"	"http://a0.twimg.com/profile_images/1214129770/Picture0596_normal.jpg"	"30653798594650113"		"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"30653798594650113"	"nndarby"	"31528249"	"{u'result_type': u'recent'}"	"None"	"31528249"	"Newark, NJ"	
"en"	"None"	"None"	"My version: my name deladope (bark noise) , from Oak st (bark boise)"	"Thu, 27 Jan 2011 15:46:53 +0000"	"http://a3.twimg.com/profile_images/1225576683/webcam_normal.jpg"	"30652976074850304"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"30652976074850304"	"DelaVator"	"179853194"	"{u'result_type': u'recent'}"	"None"	"179853194"	"540 , NJ"	
"no"	"None"	"None"	"I got paper girl (bark noise) , tha lamborghini (bark noise) . . Loll"	"Thu, 27 Jan 2011 15:40:58 +0000"	"http://a3.twimg.com/profile_images/1225576683/webcam_normal.jpg"	"30651486530699264"		"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"30651486530699264"	"DelaVator"	"179853194"	"{u'result_type': u'recent'}"	"None"	"179853194"	"540 , NJ"	
"en"	"None"	"None"	"These niggas shovelling in front of my door makin too much noise smh"	"Thu, 27 Jan 2011 15:35:23 +0000"	"http://a1.twimg.com/profile_images/1202104232/SheBeenPaid_normal.jpg"	"30650079891169281"		"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"30650079891169281"	"SheBeenPaid"	"95289932"	"{u'result_type': u'recent'}"	"None"	"95289932"	"Harlem,NY"	
"en"	"None"	"None"	"Just posting this everywhere. “@pitchforkmedia: Video: Sleigh Bells: "Rill Rill": A little horror with your noise pop http://bit.ly/ibpz7k”"	"Thu, 27 Jan 2011 15:34:43 +0000"	"http://a0.twimg.com/profile_images/844631829/lips_normal.jpg"	"30649912777506817"		"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"30649912777506817"	"bestyworsty"	"175954095"	"{u'result_type': u'recent'}"	"None"	"175954095"	"New York City"	
