iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"ok is EVERYONE away from their desk playing in the snow today? very quiet on email, which is good, but..."	"Thu, 27 Jan 2011 16:22:02 +0000"	"http://a0.twimg.com/profile_images/1145939506/3_cover_miller_allergic_jpeg_normal.jpg"	"30661821903929344"	"<a href="http://twitter.com/">web</a>"	"30661821903929344"	"allergicgirl"	"1945378"	"{u'result_type': u'recent'}"	"None"	"1945378"	"New York City"		
"en"	"None"	"None"	"RT @OfficllyHollywd: @jazzyfierce425 lml< its always the quiet ones but a freak can spot a freak haha lemme stop"	"Thu, 27 Jan 2011 16:20:45 +0000"	"http://a1.twimg.com/profile_images/1214958607/edited_normal.jpg"	"30661498606985216"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30661498606985216"	"jazzyfierce425"	"191429381"	"{u'result_type': u'recent'}"	"None"	"191429381"	"Brooklynn"		
"en"	"None"	"None"	"Going to work on a snow day isn't so bad. I'm going to clear out my assignments in no time. Ahhh the peace and quiet!"	"Thu, 27 Jan 2011 16:19:54 +0000"	"http://a2.twimg.com/profile_images/1200975939/twists_normal.jpg"	"30661283112030209"	"<a href="http://twitter.com/">web</a>"	"30661283112030209"	"kbeaubrun"	"3087154"	"{u'result_type': u'recent'}"	"None"	"3087154"	"New York City, NY"		
"en"	"None"	"None"	"So quiet at the office today. Only about 1/2 of us made it in."	"Thu, 27 Jan 2011 16:18:47 +0000"	"http://a2.twimg.com/profile_images/1017154667/6dd417ec-f556-4244-9198-44cbb047a5dc_normal.jpg"	"30661001418379264"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"30661001418379264"	"neoknits"	"4553414"	"{u'result_type': u'recent'}"	"None"	"4553414"	"New York"		
"en"	"152958925"	"152958925"	"@MsMelissaIrish I like it, it makes everything slow down... Gives you time to smell the roses... no horns blowing, just peace and quiet."	"Thu, 27 Jan 2011 16:18:02 +0000"	"http://a1.twimg.com/profile_images/1205833988/HEF-mer-16_normal.jpg"	"30660814809604096"	"<a href="http://twidroyd.com" rel="nofollow">twidroyd</a>"	"30660814809604096"	"bkhefe"	"99357887"	"{u'result_type': u'recent'}"	"None"	"99357887"	"Brooklyn"	"MsMelissaIrish"	
"en"	"151044545"	"151044545"	"@amnos87 I was wondering why you were so quiet. Why so off? You even took the day off."	"Thu, 27 Jan 2011 16:12:57 +0000"	"http://a0.twimg.com/profile_images/1163064381/nexus_ed_normal.jpg"	"30659535676903424"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"30659535676903424"	"yokuyuki"	"128332991"	"{u'result_type': u'recent'}"	"None"	"128332991"	"New York, NY"	"amnos87"	
"en"	"None"	"None"	"Made it to the office. It wasn't actually bad getting into town on the subway... Very quiet in here though. Very quiet."	"Thu, 27 Jan 2011 16:04:39 +0000"	"http://a2.twimg.com/profile_images/590815635/IMG_2674_normal.jpg"	"30657444493398016"	"<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>"	"30657444493398016"	"CriticalTodd"	"314101"	"{u'result_type': u'recent'}"	"None"	"314101"	"Clinton Hill, Brooklyn, NYC"		
"en"	"155183272"	"155183272"	"@mrnatepetrelli "Doesn't matter, Nathan," I quiet him with a kiss. "I'll get the healing ability. We'll make it work." I'll do whatever -"	"Thu, 27 Jan 2011 16:03:08 +0000"	"http://a1.twimg.com/profile_images/1226265611/256718paler_normal.jpg"	"30657063814168576"	"<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>"	"30657063814168576"	"all_heart"	"102222516"	"{u'result_type': u'recent'}"	"None"	"102222516"	"New York, NY"	"mrnatepetrelli"	
"en"	"None"	"None"	"RT @marthastewart: West 11th st after the fourth nyc blizzard. The city is eerily quiet & traffic light. Ez trip http://twitpic.com/3tw4dm"	"Thu, 27 Jan 2011 16:02:54 +0000"	"http://a3.twimg.com/profile_images/1121174611/marthaicon_normal.jpg"	"30657007161704448"	"<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>"	"30657007161704448"	"TheMarthaShow"	"6776505"	"{u'result_type': u'recent'}"	"None"	"6776505"	"New York, NY"		
"en"	"None"	"None"	"I think my favorite part of #snow in the city is the silence it creates.  #NYC'ers, can you imagine if it was this quiet all the time?"	"Thu, 27 Jan 2011 16:00:05 +0000"	"http://a3.twimg.com/profile_images/81215159/IMG_0984_normal.jpg"	"30656295677722624"	"<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>"	"30656295677722624"	"newyhouse"	"5290293"	"{u'result_type': u'recent'}"	"None"	"5290293"	"nyc"		
