iso_language_code	to_user_id	to_user_id_str	text	created_at	profile_image_url	id	source	id_str	from_user	from_user_id	metadata	geo	from_user_id_str	location	to_user	place
"en"	"None"	"None"	"If nose-blowing was an Olympic event, my son still wouldn't even qualify."	"Thu, 27 Jan 2011 16:24:06 +0000"	"http://a2.twimg.com/profile_images/119441706/Dave_2_normal.jpg"	"30662343213981697"	"<a href="http://twicca.r246.jp/" rel="nofollow">twicca</a>"	"30662343213981697"	"davio1962"	"6158266"	"{u'result_type': u'recent'}"	"None"	"6158266"	"Brooklyn, New York"		
"en"	"None"	"None"	"I still love Price is Right ... I wish I could watch it fully today ... instead it is playing in the background ..."	"Thu, 27 Jan 2011 16:23:58 +0000"	"http://a1.twimg.com/profile_images/1159299166/twitpic_normal.JPG"	"30662309265276928"	"<a href="http://twitter.com/">web</a>"	"30662309265276928"	"nekesamumbi"	"1218589"	"{u'result_type': u'recent'}"	"None"	"1218589"	"NYC!"		
"en"	"9761181"	"9761181"	"@teddyruks very tru but its still a diff 4 bitches then niggas cuz a bitch could act like a nigga but still be labled a hoe"	"Thu, 27 Jan 2011 16:23:58 +0000"	"http://a3.twimg.com/profile_images/1199674264/232897113_normal.jpg"	"30662306203439104"	"<a href="http://twitter.com/">web</a>"	"30662306203439104"	"BlkCourtneyLuv"	"133758139"	"{u'result_type': u'recent'}"	"None"	"133758139"	"ÜT: 40.696935,-73.917596"	"teddyruks"	
"en"	"None"	"None"	"RT @scottmcpartland #NYC "thundersnow" video | still photo montage taken at height of the storm last night! http://bit.ly/gKQQwf"	"Thu, 27 Jan 2011 16:23:56 +0000"	"http://a1.twimg.com/profile_images/1157300075/Twitter_normal.jpg"	"30662299270258688"	"<a href="http://twitter.com/">web</a>"	"30662299270258688"	"Pash1994"	"17451802"	"{u'result_type': u'recent'}"	"None"	"17451802"	"nyc"		
"en"	"206435955"	"206435955"	"@lksilverberg still is surprising 2 me what isn't findable anywhere Hulu, NetFlix, iTunes...  When some1 conquers HBO that will b something."	"Thu, 27 Jan 2011 16:23:44 +0000"	"http://a0.twimg.com/profile_images/1194962622/twitter_pic_normal.png"	"30662248926023680"	"<a href="http://twitter.com" rel="nofollow">Tweetie for Mac</a>"	"30662248926023680"	"lbraun2000"	"76833"	"{u'result_type': u'recent'}"	"None"	"76833"	"New York, NY"	"lksilverberg"	
"en"	"170501358"	"170501358"	"@StephluvsDamian We still have alottt left from the last storm, and I think we got like 5 inches yesterday"	"Thu, 27 Jan 2011 16:23:34 +0000"	"http://a2.twimg.com/profile_images/1198184089/Confetti_Promo_-_square_normal.jpg"	"30662207222059010"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"30662207222059010"	"AliBrustofski"	"19704501"	"{u'result_type': u'recent'}"	"None"	"19704501"	"New York, New York"	"StephluvsDamian"	
"en"	"None"	"None"	"RT @JeyNyce: @nydailynews Still waiting for the plow to come to my neighborhood (241st) had to walk 2.4 miles to work, nice workout, LOL"	"Thu, 27 Jan 2011 16:23:24 +0000"	"http://a3.twimg.com/profile_images/1002117563/icon_nydn_all_normal.jpg"	"30662167124512770"	"<a href="http://www.twittergadget.com" rel="nofollow">tGadget</a>"	"30662167124512770"	"nydailynews"	"2493714"	"{u'result_type': u'recent'}"	"None"	"2493714"	"New York City"		
"en"	"116041908"	"116041908"	"@Cuddi3 they still got a weenie to"	"Thu, 27 Jan 2011 16:23:17 +0000"	"http://a2.twimg.com/profile_images/1212475667/photo_3_dd2a6ee284eaca0791dd8eaad9084885_normal.jpg"	"30662135356850177"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"30662135356850177"	"IttyBittyKyala"	"140761782"	"{u'result_type': u'recent'}"	"None"	"140761782"	"- Brooklyn *"	"Cuddi3"	
"en"	"85955613"	"85955613"	"@Interspectacula I need some more hours breh. I haven't worked that much but I'm still ballin' lol. I'd just like some clothes tho :("	"Thu, 27 Jan 2011 16:23:11 +0000"	"http://a1.twimg.com/profile_images/1221644012/248455547_normal.jpg"	"30662112044916736"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30662112044916736"	"Stevieeweavie"	"87949177"	"{u'result_type': u'recent'}"	"None"	"87949177"	"brooklyn. "	"Interspectacula"	
"en"	"None"	"None"	"external hardrive still at about 1.4 terrabytes haha"	"Thu, 27 Jan 2011 16:23:11 +0000"	"http://a3.twimg.com/profile_images/811306168/me_normal.jpg"	"30662110417518592"	"<a href="http://twitter.com/">web</a>"	"30662110417518592"	"Abadboy"	"33613653"	"{u'result_type': u'recent'}"	"None"	"33613653"	"Queens, New York"		
"en"	"1214620"	"1214620"	"@CaruthK lemme know how your feet feel after all that... Lol, hopefully you still have them when you get back"	"Thu, 27 Jan 2011 16:23:09 +0000"	"http://a1.twimg.com/profile_images/1225266580/250865547_normal.jpg"	"30662103564025856"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30662103564025856"	"MaseratiMelz"	"67721062"	"{u'result_type': u'recent'}"	"None"	"67721062"	"Bronx, NY"	"CaruthK"	
"en"	"None"	"None"	"Brazil's E-book Market Still Crawling | Publishing Perspectives: http://bit.ly/fc8Fuu #in"	"Thu, 27 Jan 2011 16:23:07 +0000"	"http://a2.twimg.com/profile_images/68088309/Ze_achica_normal.jpg"	"30662094999257089"	"<a href="http://twitter.com/">web</a>"	"30662094999257089"	"queridapatricia"	"7408555"	"{u'result_type': u'recent'}"	"None"	"7408555"	"Brooklyn"		
"en"	"None"	"None"	"Spent half my snow day jailbreaking my Apple TV and installing ATV Flash (via @firecore). I still have nothing useful to do with it. Yet."	"Thu, 27 Jan 2011 16:23:04 +0000"	"http://a0.twimg.com/profile_images/1109663340/P1010992_2_normal.JPG"	"30662082160500736"	"<a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>"	"30662082160500736"	"foundinblank"	"3581712"	"{u'result_type': u'recent'}"	"None"	"3581712"	"New York, NY"		
"en"	"None"	"None"	"Like my heart is still beating fast"	"Thu, 27 Jan 2011 16:22:56 +0000"	"http://a1.twimg.com/profile_images/1226545740/IMG01844-20110123-1843_normal.jpg"	"30662047985307648"	"<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>"	"30662047985307648"	"KapowJr"	"178304146"	"{u'result_type': u'recent'}"	"None"	"178304146"	"Brooklyn,New York"		
"en"	"None"	"None"	"For a minute, I thought I liked Anne Hathaway as much as Amy Adams. But @sallymak26 talked me out of it. (It's still close, though)"	"Thu, 27 Jan 2011 16:22:53 +0000"	"http://a3.twimg.com/profile_images/403483688/andrew_and_catherine_normal.jpg"	"30662037004619776"	"<a href="http://twitter.com/">web</a>"	"30662037004619776"	"AndrewRossi"	"267172"	"{u'result_type': u'recent'}"	"None"	"267172"	"New York, NY"		
"en"	"24286876"	"24286876"	"@Rox_esbonita lol false alarm...I was looking at todays flight..I'm still on deck for tomorrow"	"Thu, 27 Jan 2011 16:22:51 +0000"	"http://a3.twimg.com/profile_images/1198702129/profile_image_1293312490423_normal.jpg"	"30662027861037056"	"<a href="http://seesmic.com/seesmic_mobile/android/" rel="nofollow">Seesmic for Android</a>"	"30662027861037056"	"BossReggie"	"9244316"	"{u'result_type': u'recent'}"	"None"	"9244316"	"ÜT: 40.646965,-73.958452"	"Rox_esbonita"	
"en"	"None"	"None"	"Lol y am I still sitting here in my towel n robe confused I'm going back to sleep"	"Thu, 27 Jan 2011 16:22:51 +0000"	"http://a0.twimg.com/profile_images/1221723594/248549661_normal.jpg"	"30662026598551552"	"<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>"	"30662026598551552"	"I_AM_SolAnGeL"	"148831467"	"{u'result_type': u'recent'}"	"None"	"148831467"	"Brooklyn Bombshell"		
"en"	"None"	"None"	"Still gotta get up and go trek it too school in this snow...this is BULLSHIT!!!!!!!!!!!!!"	"Thu, 27 Jan 2011 16:22:51 +0000"	"http://a2.twimg.com/profile_images/1211235815/77179_458752089843_520714843_5329790_6690744_n_normal.jpg"	"30662025013104640"	"<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>"	"30662025013104640"	"KidGraY1188"	"123020607"	"{u'result_type': u'recent'}"	"None"	"123020607"	"ÜT: 40.655783,-73.915491"		
